Source: GitHub run 35350125464 job 105616007904; excerpt, not the full log.
REFUSED byte-lm-host-infer-threaded/base: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/ties: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/hashed: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/wide: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/denormal: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/denormal_ftz: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/dupes: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/odd: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm-host-infer-threaded/negative: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED par-reference-knn/ties: ValueError: ReferenceShardedNeighbors indices and plain indices differ: 106 bytes of 4096
REFUSED byte-lm/base: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/ties: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/hashed: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/wide: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/denormal: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/denormal_ftz: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/dupes: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/odd: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/negative: infer: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/base: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/ties: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/hashed: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
REFUSED byte-lm/wide: batch: RuntimeError: mojolearn: /home/runner/work/_temp/host-sab/_mojolearn_byte_lm_host.so is the gate's SABOTAGE build (DEVIATION 2612) and computes wrong answers on purpose; it is refused outside the gate
