| lane/fixture                 | verdict    | apple-m4         | apple-m4         | apple-m4         | apple-m4         |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| gbdt-adapter-clf/base        | IDENTICAL x2 | 933184700a044eb2 | (not run)        | (not run)        | 933184700a044eb2 |
| gbdt-adapter-clf/odd         | IDENTICAL x2 | f8f56dac8e714ab8 | (not run)        | (not run)        | f8f56dac8e714ab8 |
| gbdt-adapter-clf/ties        | IDENTICAL x2 | 492cbf5fbc9e6304 | (not run)        | (not run)        | 492cbf5fbc9e6304 |
| gbdt-adapter-reg/base        | IDENTICAL x2 | 3f8aef8d73be249c | (not run)        | (not run)        | 3f8aef8d73be249c |
| gbdt-adapter-reg/odd         | IDENTICAL x2 | 7b54ca9d69e29714 | (not run)        | (not run)        | 7b54ca9d69e29714 |
| gbdt-adapter-reg/ties        | IDENTICAL x2 | 88cba1574daa922e | (not run)        | (not run)        | 88cba1574daa922e |
| gbdt-categorical-ctr/base    | IDENTICAL x2 | 3c492b90c998f095 | (not run)        | (not run)        | 3c492b90c998f095 |
| gbdt-categorical-ctr/odd     | IDENTICAL x2 | 3f1f7468b711f825 | (not run)        | (not run)        | 3f1f7468b711f825 |
| gbdt-categorical-ctr/ties    | IDENTICAL x2 | b19fd4bbd5430219 | (not run)        | (not run)        | b19fd4bbd5430219 |
| gbdt-depthwise/base          | IDENTICAL x2 | 38726fc0c93c0bff | (not run)        | (not run)        | 38726fc0c93c0bff |
| gbdt-depthwise/odd           | IDENTICAL x2 | fb9e5c03088814f6 | (not run)        | (not run)        | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | IDENTICAL x2 | 465cb10f303e005a | (not run)        | (not run)        | 465cb10f303e005a |
| gbdt-exact-mae/base          | IDENTICAL x2 | 2c8a23ac5ef0b570 | (not run)        | (not run)        | 2c8a23ac5ef0b570 |
| gbdt-exact-mae/odd           | IDENTICAL x2 | 62e0e9af15af59e8 | (not run)        | (not run)        | 62e0e9af15af59e8 |
| gbdt-exact-mae/ties          | IDENTICAL x2 | 65948ea43ed2efdd | (not run)        | (not run)        | 65948ea43ed2efdd |
| gbdt-feature-freq/base       | IDENTICAL x2 | 7d9c56b51213cb42 | (not run)        | (not run)        | 7d9c56b51213cb42 |
| gbdt-feature-freq/odd        | IDENTICAL x2 | c481331145bfb998 | (not run)        | (not run)        | c481331145bfb998 |
| gbdt-feature-freq/ties       | IDENTICAL x2 | 57ff9964d1af1d4a | (not run)        | (not run)        | 57ff9964d1af1d4a |
| gbdt-lossguide-newtoncosine/base | IDENTICAL x2 | b5246f258d7f7fd5 | (not run)        | (not run)        | b5246f258d7f7fd5 |
| gbdt-lossguide-newtoncosine/odd | IDENTICAL x2 | f37e48556364dee2 | (not run)        | (not run)        | f37e48556364dee2 |
| gbdt-lossguide-newtoncosine/ties | IDENTICAL x2 | 6e49cedd249ddecb | (not run)        | (not run)        | 6e49cedd249ddecb |
| gbdt-lossguide/base          | IDENTICAL x2 | bc3017cb29615105 | (not run)        | (not run)        | bc3017cb29615105 |
| gbdt-lossguide/odd           | IDENTICAL x2 | 9fd309c55a93e6c3 | (not run)        | (not run)        | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | IDENTICAL x2 | 19d199f7bfa16c25 | (not run)        | (not run)        | 19d199f7bfa16c25 |
| gbdt-multiclass/base         | IDENTICAL x2 | a5f1e32eedd64780 | (not run)        | (not run)        | a5f1e32eedd64780 |
| gbdt-multiclass/odd          | IDENTICAL x2 | 455dd5addb3f02c2 | (not run)        | (not run)        | 455dd5addb3f02c2 |
| gbdt-multiclass/ties         | IDENTICAL x2 | 2313d13ab4e2ab31 | (not run)        | (not run)        | 2313d13ab4e2ab31 |
| gbdt-nan-modes/base          | IDENTICAL x2 | 69ff4c8007c1f9fe | (not run)        | (not run)        | 69ff4c8007c1f9fe |
| gbdt-nan-modes/odd           | IDENTICAL x2 | 161804fea5952ecd | (not run)        | (not run)        | 161804fea5952ecd |
| gbdt-nan-modes/ties          | IDENTICAL x2 | 04e6975c827a53fb | (not run)        | (not run)        | 04e6975c827a53fb |
| gbdt-onevsall/base           | IDENTICAL x2 | 8055b03a6a9b2693 | (not run)        | (not run)        | 8055b03a6a9b2693 |
| gbdt-onevsall/odd            | IDENTICAL x2 | d1c61adcfae95dc8 | (not run)        | (not run)        | d1c61adcfae95dc8 |
| gbdt-onevsall/ties           | IDENTICAL x2 | 76e0dd66a5092560 | (not run)        | (not run)        | 76e0dd66a5092560 |
| gbdt-ordered-rmse/base       | IDENTICAL x2 | a6e77b5224108785 | (not run)        | (not run)        | a6e77b5224108785 |
| gbdt-ordered-rmse/odd        | IDENTICAL x2 | d83c83930af5d802 | (not run)        | (not run)        | d83c83930af5d802 |
| gbdt-ordered-rmse/ties       | IDENTICAL x2 | 563f339900c22c9d | (not run)        | (not run)        | 563f339900c22c9d |
| gbdt-pair-logit/base         | IDENTICAL x2 | (not run)        | (not run)        | dd8e7a425b657410 | dd8e7a425b657410 |
| gbdt-pair-logit/odd          | IDENTICAL x2 | (not run)        | (not run)        | 6b4a46eeb834e2e0 | 6b4a46eeb834e2e0 |
| gbdt-pair-logit/ties         | IDENTICAL x2 | (not run)        | (not run)        | 76ffda356c72de21 | 76ffda356c72de21 |
| gbdt-parametric-losses/base  | IDENTICAL x2 | eb682c0ae5c06ec7 | (not run)        | (not run)        | eb682c0ae5c06ec7 |
| gbdt-parametric-losses/odd   | IDENTICAL x2 | f70b7e0960454bcf | (not run)        | (not run)        | f70b7e0960454bcf |
| gbdt-parametric-losses/ties  | IDENTICAL x2 | efc6587263899c79 | (not run)        | (not run)        | efc6587263899c79 |
| gbdt-pointwise-l2-bayesian-eval/base | IDENTICAL x2 | 2ac238ddce22e2ef | (not run)        | (not run)        | 2ac238ddce22e2ef |
| gbdt-pointwise-l2-bayesian-eval/odd | IDENTICAL x2 | 59cf66d7ddc936b4 | (not run)        | (not run)        | 59cf66d7ddc936b4 |
| gbdt-pointwise-l2-bayesian-eval/ties | IDENTICAL x2 | 84ba6825b4967e89 | (not run)        | (not run)        | 84ba6825b4967e89 |
| gbdt-query-rmse/base         | IDENTICAL x2 | (not run)        | b3f448427d6e764f | (not run)        | b3f448427d6e764f |
| gbdt-query-rmse/odd          | IDENTICAL x2 | (not run)        | 13b70161e523142f | (not run)        | 13b70161e523142f |
| gbdt-query-rmse/ties         | IDENTICAL x2 | (not run)        | 40a5b5333f0a32ef | (not run)        | 40a5b5333f0a32ef |
| gbdt-rmse/base               | IDENTICAL x2 | 3f8aef8d73be249c | (not run)        | (not run)        | 3f8aef8d73be249c |
| gbdt-rmse/odd                | IDENTICAL x2 | 7b54ca9d69e29714 | (not run)        | (not run)        | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | IDENTICAL x2 | 88cba1574daa922e | (not run)        | (not run)        | 88cba1574daa922e |
| gbdt-symmetric/base          | IDENTICAL x2 | 56560dec5bdb6cb9 | (not run)        | (not run)        | 56560dec5bdb6cb9 |
| gbdt-symmetric/odd           | IDENTICAL x2 | 0836bd47530040d0 | (not run)        | (not run)        | 0836bd47530040d0 |
| gbdt-symmetric/ties          | IDENTICAL x2 | b32c469f812adf25 | (not run)        | (not run)        | b32c469f812adf25 |

summary: IDENTICAL=54

| lane/fixture                 | column | verdict      | apple-m4         | apple-m4         | apple-m4         | apple-m4         |
|------------------------------|--------|--------------|------------------|------------------|------------------|------------------|
| gbdt-adapter-clf/base        | infer  | IDENTICAL x2 | 33875685be67febb | (not run)        | (not run)        | 33875685be67febb |
| gbdt-adapter-clf/base        | model  | N/A          | n/a:save-not-implemented | (not run)        | (not run)        | n/a:save-not-implemented |
| gbdt-adapter-clf/base        | batch  | IDENTICAL x2 | 984baeb0cccbd21e | (not run)        | (not run)        | 984baeb0cccbd21e |
| gbdt-adapter-clf/odd         | infer  | IDENTICAL x2 | 94e4c2a70fc9bfd8 | (not run)        | (not run)        | 94e4c2a70fc9bfd8 |
| gbdt-adapter-clf/odd         | model  | N/A          | n/a:save-not-implemented | (not run)        | (not run)        | n/a:save-not-implemented |
| gbdt-adapter-clf/odd         | batch  | IDENTICAL x2 | 38ba96eea94d8ea9 | (not run)        | (not run)        | 38ba96eea94d8ea9 |
| gbdt-adapter-clf/ties        | infer  | IDENTICAL x2 | fe960ad1ad7c54e5 | (not run)        | (not run)        | fe960ad1ad7c54e5 |
| gbdt-adapter-clf/ties        | model  | N/A          | n/a:save-not-implemented | (not run)        | (not run)        | n/a:save-not-implemented |
| gbdt-adapter-clf/ties        | batch  | IDENTICAL x2 | 14399e0cd5893cd4 | (not run)        | (not run)        | 14399e0cd5893cd4 |
| gbdt-adapter-reg/base        | infer  | IDENTICAL x2 | ba6284898fcd7adb | (not run)        | (not run)        | ba6284898fcd7adb |
| gbdt-adapter-reg/base        | model  | N/A          | n/a:save-not-implemented | (not run)        | (not run)        | n/a:save-not-implemented |
| gbdt-adapter-reg/base        | batch  | IDENTICAL x2 | 3a53a53abfe321f6 | (not run)        | (not run)        | 3a53a53abfe321f6 |
| gbdt-adapter-reg/odd         | infer  | IDENTICAL x2 | 88f9e64eea1b35df | (not run)        | (not run)        | 88f9e64eea1b35df |
| gbdt-adapter-reg/odd         | model  | N/A          | n/a:save-not-implemented | (not run)        | (not run)        | n/a:save-not-implemented |
| gbdt-adapter-reg/odd         | batch  | IDENTICAL x2 | 6b459ed54f82865a | (not run)        | (not run)        | 6b459ed54f82865a |
| gbdt-adapter-reg/ties        | infer  | IDENTICAL x2 | 4044415de3b73aee | (not run)        | (not run)        | 4044415de3b73aee |
| gbdt-adapter-reg/ties        | model  | N/A          | n/a:save-not-implemented | (not run)        | (not run)        | n/a:save-not-implemented |
| gbdt-adapter-reg/ties        | batch  | IDENTICAL x2 | 1681c6f968f338d2 | (not run)        | (not run)        | 1681c6f968f338d2 |
| gbdt-categorical-ctr/base    | infer  | IDENTICAL x2 | 01fd6a33928b42a8 | (not run)        | (not run)        | 01fd6a33928b42a8 |
| gbdt-categorical-ctr/base    | model  | IDENTICAL x2 | d1bc6890d23ce613 | (not run)        | (not run)        | d1bc6890d23ce613 |
| gbdt-categorical-ctr/base    | batch  | IDENTICAL x2 | 8c08c90af3b9bafd | (not run)        | (not run)        | 8c08c90af3b9bafd |
| gbdt-categorical-ctr/odd     | infer  | IDENTICAL x2 | 6db4a8fb8ffcc4df | (not run)        | (not run)        | 6db4a8fb8ffcc4df |
| gbdt-categorical-ctr/odd     | model  | IDENTICAL x2 | ca74bdd7ef688c0d | (not run)        | (not run)        | ca74bdd7ef688c0d |
| gbdt-categorical-ctr/odd     | batch  | IDENTICAL x2 | ee6e7cfed828deb2 | (not run)        | (not run)        | ee6e7cfed828deb2 |
| gbdt-categorical-ctr/ties    | infer  | IDENTICAL x2 | 7e2f6402af40601a | (not run)        | (not run)        | 7e2f6402af40601a |
| gbdt-categorical-ctr/ties    | model  | IDENTICAL x2 | e65f09cb2a1e7754 | (not run)        | (not run)        | e65f09cb2a1e7754 |
| gbdt-categorical-ctr/ties    | batch  | IDENTICAL x2 | 2adbd46492fefdf1 | (not run)        | (not run)        | 2adbd46492fefdf1 |
| gbdt-depthwise/base          | infer  | IDENTICAL x2 | 688bf9a8e927232e | (not run)        | (not run)        | 688bf9a8e927232e |
| gbdt-depthwise/base          | model  | IDENTICAL x2 | 448c1bcf37ffdc97 | (not run)        | (not run)        | 448c1bcf37ffdc97 |
| gbdt-depthwise/base          | batch  | IDENTICAL x2 | 25bf2754b853a026 | (not run)        | (not run)        | 25bf2754b853a026 |
| gbdt-depthwise/odd           | infer  | IDENTICAL x2 | 4ee637393df9aff7 | (not run)        | (not run)        | 4ee637393df9aff7 |
| gbdt-depthwise/odd           | model  | IDENTICAL x2 | e4f63fb009a0a7b5 | (not run)        | (not run)        | e4f63fb009a0a7b5 |
| gbdt-depthwise/odd           | batch  | IDENTICAL x2 | 992386f8f1c7c126 | (not run)        | (not run)        | 992386f8f1c7c126 |
| gbdt-depthwise/ties          | infer  | IDENTICAL x2 | e299a1457dfaedc7 | (not run)        | (not run)        | e299a1457dfaedc7 |
| gbdt-depthwise/ties          | model  | IDENTICAL x2 | ef4323cc40bbfd0a | (not run)        | (not run)        | ef4323cc40bbfd0a |
| gbdt-depthwise/ties          | batch  | IDENTICAL x2 | 071de76e68c2fc1d | (not run)        | (not run)        | 071de76e68c2fc1d |
| gbdt-exact-mae/base          | infer  | IDENTICAL x2 | 8be26ab7b3a20568 | (not run)        | (not run)        | 8be26ab7b3a20568 |
| gbdt-exact-mae/base          | model  | IDENTICAL x2 | 610f6e7030433d25 | (not run)        | (not run)        | 610f6e7030433d25 |
| gbdt-exact-mae/base          | batch  | IDENTICAL x2 | f90756faab4e2172 | (not run)        | (not run)        | f90756faab4e2172 |
| gbdt-exact-mae/odd           | infer  | IDENTICAL x2 | 803b69f78691fd97 | (not run)        | (not run)        | 803b69f78691fd97 |
| gbdt-exact-mae/odd           | model  | IDENTICAL x2 | a7acaed4e232dca0 | (not run)        | (not run)        | a7acaed4e232dca0 |
| gbdt-exact-mae/odd           | batch  | IDENTICAL x2 | 1f55cf8d09089aa2 | (not run)        | (not run)        | 1f55cf8d09089aa2 |
| gbdt-exact-mae/ties          | infer  | IDENTICAL x2 | a6a66eb2f734a4a0 | (not run)        | (not run)        | a6a66eb2f734a4a0 |
| gbdt-exact-mae/ties          | model  | IDENTICAL x2 | 3c059b5d2d1d5ba4 | (not run)        | (not run)        | 3c059b5d2d1d5ba4 |
| gbdt-exact-mae/ties          | batch  | IDENTICAL x2 | e6f7c7d77ba8558c | (not run)        | (not run)        | e6f7c7d77ba8558c |
| gbdt-feature-freq/base       | infer  | IDENTICAL x2 | 95b976d85efc7f2d | (not run)        | (not run)        | 95b976d85efc7f2d |
| gbdt-feature-freq/base       | model  | IDENTICAL x2 | b2959e177eb6e088 | (not run)        | (not run)        | b2959e177eb6e088 |
| gbdt-feature-freq/base       | batch  | IDENTICAL x2 | 272537bbe18b712b | (not run)        | (not run)        | 272537bbe18b712b |
| gbdt-feature-freq/odd        | infer  | IDENTICAL x2 | 711887d930537c47 | (not run)        | (not run)        | 711887d930537c47 |
| gbdt-feature-freq/odd        | model  | IDENTICAL x2 | 53a4160101e38573 | (not run)        | (not run)        | 53a4160101e38573 |
| gbdt-feature-freq/odd        | batch  | IDENTICAL x2 | bfe39e4c9f5bacc7 | (not run)        | (not run)        | bfe39e4c9f5bacc7 |
| gbdt-feature-freq/ties       | infer  | IDENTICAL x2 | 41371bafcf6397a3 | (not run)        | (not run)        | 41371bafcf6397a3 |
