# Upstream files and functions this section deliberately does NOT port, and why.
# A file absent from both this list and PORTED_MAP.tsv has simply not been
# looked at, which is a different and worse state. Keep both complete.
#
# Pins: RAFT v26.08.00, cuML v26.08.00, cuVS 94c2819 (25.08). Paths are
# relative to the repository named in the first path component.
#
# ==================== THE ONE THAT IS NOT A CHOICE ====================
cuvs: cpp/src/preprocessing/spectral/detail/spectral_embedding.cuh	CANNOT BE PORTED OR CHECKED: NOT ON THIS MACHINE	The 26.08 cuVS that cuML 26.08 compiles against is in no checkout here. This lane's cuvs/ files were written against it by an agent that is gone, so their line citations cannot be confirmed and three numbers in them are recorded as CHOSEN (DEVIATION 780). GETTING THAT CHECKOUT IS THE SINGLE HIGHEST-VALUE THING ANYONE CAN DO FOR THIS LANE: it settles ncv, max_iterations, whether tolerance is plumbed, whether the COO or the CSR Laplacian overload is the 26.08 path, and whether the transform COO overloads exist
cuvs: cpp/include/cuvs/cluster/spectral.hpp	same	cuML 26.08's spectral_clustering.cu includes it and calls cuvs::cluster::spectral::fit_predict; neither the header nor the symbol exists in the 25.08 checkout. SpectralClusteringParams' field list here is inferred from cuML's to_cuvs (n_clusters, n_components, n_init, n_neighbors, tolerance, rng_state) and is unconfirmed
# ==================== RAFT: out of scope or not the path ====================
raft: cpp/include/raft/sparse/linalg/detail/laplacian.cuh::compute_graph_laplacian (CSR, :40-117)	not the path we ported, AND THAT CHOICE IS CONTINGENT	The two overloads agree on every VALUE and not on every ROUNDING: the CSR kernel excludes a self-loop from the degree (`input_value = col_index == row ? 0 : adj_values[...]`, :69) while the COO overload SUMS it in and SUBTRACTS it back on the diagonal (:224-226), which is two roundings where the CSR arm has none. The kNN connectivity graph always carries a self-loop, so the two arms can differ in the last bits of every diagonal entry. This lane ported the COO arm. **cuVS 25.08 REACHES THE CSR ARM** (coo_to_csr_matrix at spectral_embedding.cu:111-145 hands create_laplacian a device_csr_matrix_view). If the 26.08 cuVS also converts to CSR, THIS LANE PORTED THE WRONG OVERLOAD and the fix is to port the CSR kernel beside it. Nothing on this machine can settle that
raft: cpp/include/raft/sparse/solver/detail/lanczos.cuh::lanczos_solve_ritz LM/SM arms (:196-243)	refused by name	A thrust::sort by |eigenvalue| and then a re-sort by algebraic value. thrust::sort is NOT stable, so the order among equal magnitudes is unspecified and theirs never defined a tie-break; porting it would mean inventing one, which is exactly what this lane's contract forbids. cuVS only ever passes LA
raft: cpp/include/raft/sparse/solver/detail/lanczos.cuh, the dead V_k_T transpose (:644-647)	their dead code	`raft::linalg::transpose(handle, V_k, V_k_T.view())` computes a transpose that the gemv two lines later does not read (it passes V_k.data_handle()). Not ported, because porting it would move nothing and cost a kernel
raft: cpp/include/raft/sparse/solver/detail/lanczos.cuh, the swapped launch bounds (:161-162)	their defect, no bits move	kernel_triangular_populate is launched <<<blockSize, numBlocks>>> where its neighbor at :165-168 uses <<<blocksPerGrid, threadsPerBlock>>>: the arguments are transposed, so it runs 256 blocks of ceil(ncv/256) threads. It happens to COVER every row at every ncv and writes each cell once, so no bit moves. Recorded rather than reproduced; ours builds the projected matrix in a host loop
raft: cpp/include/raft/sparse/solver/detail/randomized_svds.cuh	out of scope	A different solver. Nothing in the spectral embedding path calls it
raft: cpp/include/raft/sparse/solver/detail/cholesky_qr.cuh, svds_sign_correction.cuh, csr_linear_operator.cuh	out of scope	Support for randomized_svds. NOTE for a later reader: svds_sign_correction.cuh is RAFT's own answer to the sign-convention problem this lane solves with DEVIATION 770, on a different decomposition. Worth reading before anyone proposes a second sign rule
raft: cpp/include/raft/sparse/solver/detail/mst_*.cuh	out of scope	Minimum spanning tree. A different algorithm in the same directory
