| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-mi325x-gfx942 |
| byte-lm-resident/odd         | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm-resident/odd         | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm-resident/odd         | batchscale | IDENTICAL x3 | 51efa1a6bad70fd4 | 51efa1a6bad70fd4 | 51efa1a6bad70fd4 |
| byte-lm-resident/odd         | ragged | IDENTICAL x3 | f230913e438ed170 | f230913e438ed170 | f230913e438ed170 |
| byte-lm-resident/ties        | infer  | IDENTICAL x3 | efab6527ef0195aa | efab6527ef0195aa | efab6527ef0195aa |
| byte-lm-resident/ties        | model  | IDENTICAL x3 | 947981070e61e180 | 947981070e61e180 | 947981070e61e180 |
| byte-lm-resident/ties        | batch  | IDENTICAL x3 | 4178e56fb2b92328 | 4178e56fb2b92328 | 4178e56fb2b92328 |
| byte-lm-resident/ties        | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm-resident/ties        | batchscale | IDENTICAL x3 | ec3a490b2ab22890 | ec3a490b2ab22890 | ec3a490b2ab22890 |
| byte-lm-resident/ties        | ragged | IDENTICAL x3 | 6646c27bf26cff39 | 6646c27bf26cff39 | 6646c27bf26cff39 |
| byte-lm-resident/wide        | infer  | IDENTICAL x3 | d9cdc033be91d67a | d9cdc033be91d67a | d9cdc033be91d67a |
| byte-lm-resident/wide        | model  | IDENTICAL x3 | 24cbda1caad25158 | 24cbda1caad25158 | 24cbda1caad25158 |
| byte-lm-resident/wide        | batch  | IDENTICAL x3 | 6d2986674bd92c94 | 6d2986674bd92c94 | 6d2986674bd92c94 |
| byte-lm-resident/wide        | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm-resident/wide        | batchscale | IDENTICAL x3 | 145f7e4820523fac | 145f7e4820523fac | 145f7e4820523fac |
| byte-lm-resident/wide        | ragged | IDENTICAL x3 | 44b32eafb5d4fc26 | 44b32eafb5d4fc26 | 44b32eafb5d4fc26 |
| byte-lm/base                 | infer  | IDENTICAL x3 | 220885cbd8d2f82f | 220885cbd8d2f82f | 220885cbd8d2f82f |
| byte-lm/base                 | model  | IDENTICAL x3 | b1d65b99997911c5 | b1d65b99997911c5 | b1d65b99997911c5 |
| byte-lm/base                 | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm/base                 | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/base                 | batchscale | IDENTICAL x3 | d5797719799d871d | d5797719799d871d | d5797719799d871d |
| byte-lm/base                 | ragged | IDENTICAL x3 | f230913e438ed170 | f230913e438ed170 | f230913e438ed170 |
| byte-lm/denormal             | infer  | IDENTICAL x3 | 16c555cc1776f127 | 16c555cc1776f127 | 16c555cc1776f127 |
| byte-lm/denormal             | model  | IDENTICAL x3 | 90d95bea0a099246 | 90d95bea0a099246 | 90d95bea0a099246 |
| byte-lm/denormal             | batch  | IDENTICAL x3 | 9a4f9d37b38b6127 | 9a4f9d37b38b6127 | 9a4f9d37b38b6127 |
| byte-lm/denormal             | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/denormal             | batchscale | IDENTICAL x3 | 193793e4ae0cab88 | 193793e4ae0cab88 | 193793e4ae0cab88 |
| byte-lm/denormal             | ragged | IDENTICAL x3 | 397cbe2d51703d59 | 397cbe2d51703d59 | 397cbe2d51703d59 |
| byte-lm/denormal_ftz         | infer  | IDENTICAL x3 | 21c7e2e9e4e3c163 | 21c7e2e9e4e3c163 | 21c7e2e9e4e3c163 |
| byte-lm/denormal_ftz         | model  | IDENTICAL x3 | ff9e808d37f12ae2 | ff9e808d37f12ae2 | ff9e808d37f12ae2 |
| byte-lm/denormal_ftz         | batch  | IDENTICAL x3 | 3e3cfcb8788e7cf3 | 3e3cfcb8788e7cf3 | 3e3cfcb8788e7cf3 |
| byte-lm/denormal_ftz         | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/denormal_ftz         | batchscale | IDENTICAL x3 | c72376fe922328df | c72376fe922328df | c72376fe922328df |
| byte-lm/denormal_ftz         | ragged | IDENTICAL x3 | a6550ba7ad3bd554 | a6550ba7ad3bd554 | a6550ba7ad3bd554 |
| byte-lm/dupes                | infer  | IDENTICAL x3 | a76dcc66f0b0b3d6 | a76dcc66f0b0b3d6 | a76dcc66f0b0b3d6 |
| byte-lm/dupes                | model  | IDENTICAL x3 | 78870cb1fb90caf6 | 78870cb1fb90caf6 | 78870cb1fb90caf6 |
| byte-lm/dupes                | batch  | IDENTICAL x3 | ad53b8960db92852 | ad53b8960db92852 | ad53b8960db92852 |
| byte-lm/dupes                | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/dupes                | batchscale | IDENTICAL x3 | 37ef89fa03fe5f1a | 37ef89fa03fe5f1a | 37ef89fa03fe5f1a |
| byte-lm/dupes                | ragged | IDENTICAL x3 | 723c9f8de59b128d | 723c9f8de59b128d | 723c9f8de59b128d |
| byte-lm/hashed               | infer  | IDENTICAL x3 | d9a8ae1211de63a8 | d9a8ae1211de63a8 | d9a8ae1211de63a8 |
| byte-lm/hashed               | model  | IDENTICAL x3 | 0fa0ffc6bdf7e8da | 0fa0ffc6bdf7e8da | 0fa0ffc6bdf7e8da |
| byte-lm/hashed               | batch  | IDENTICAL x3 | 2a8fad887169cf0e | 2a8fad887169cf0e | 2a8fad887169cf0e |
| byte-lm/hashed               | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/hashed               | batchscale | IDENTICAL x3 | d0aa913541fabd9a | d0aa913541fabd9a | d0aa913541fabd9a |
| byte-lm/hashed               | ragged | IDENTICAL x3 | bca6020717597afa | bca6020717597afa | bca6020717597afa |
| byte-lm/negative             | infer  | IDENTICAL x3 | feaf17f14d1fa224 | feaf17f14d1fa224 | feaf17f14d1fa224 |
| byte-lm/negative             | model  | IDENTICAL x3 | a6aa56e3723d26e7 | a6aa56e3723d26e7 | a6aa56e3723d26e7 |
| byte-lm/negative             | batch  | IDENTICAL x3 | 6daa8fd7fe40b602 | 6daa8fd7fe40b602 | 6daa8fd7fe40b602 |
| byte-lm/negative             | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/negative             | batchscale | IDENTICAL x3 | 21f9d38b29563d9e | 21f9d38b29563d9e | 21f9d38b29563d9e |
| byte-lm/negative             | ragged | IDENTICAL x3 | 820dbda443e05239 | 820dbda443e05239 | 820dbda443e05239 |
| byte-lm/odd                  | infer  | IDENTICAL x3 | 220885cbd8d2f82f | 220885cbd8d2f82f | 220885cbd8d2f82f |
| byte-lm/odd                  | model  | IDENTICAL x3 | b1d65b99997911c5 | b1d65b99997911c5 | b1d65b99997911c5 |
| byte-lm/odd                  | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm/odd                  | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/odd                  | batchscale | IDENTICAL x3 | 51efa1a6bad70fd4 | 51efa1a6bad70fd4 | 51efa1a6bad70fd4 |
| byte-lm/odd                  | ragged | IDENTICAL x3 | f230913e438ed170 | f230913e438ed170 | f230913e438ed170 |
| byte-lm/ties                 | infer  | IDENTICAL x3 | efab6527ef0195aa | efab6527ef0195aa | efab6527ef0195aa |
| byte-lm/ties                 | model  | IDENTICAL x3 | 947981070e61e180 | 947981070e61e180 | 947981070e61e180 |
| byte-lm/ties                 | batch  | IDENTICAL x3 | 4178e56fb2b92328 | 4178e56fb2b92328 | 4178e56fb2b92328 |
| byte-lm/ties                 | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/ties                 | batchscale | IDENTICAL x3 | ec3a490b2ab22890 | ec3a490b2ab22890 | ec3a490b2ab22890 |
| byte-lm/ties                 | ragged | IDENTICAL x3 | 6646c27bf26cff39 | 6646c27bf26cff39 | 6646c27bf26cff39 |
| byte-lm/wide                 | infer  | IDENTICAL x3 | d9cdc033be91d67a | d9cdc033be91d67a | d9cdc033be91d67a |
| byte-lm/wide                 | model  | IDENTICAL x3 | 24cbda1caad25158 | 24cbda1caad25158 | 24cbda1caad25158 |
| byte-lm/wide                 | batch  | IDENTICAL x3 | 6d2986674bd92c94 | 6d2986674bd92c94 | 6d2986674bd92c94 |
| byte-lm/wide                 | batchgrad | N/A          | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) | n/a:mean-reduction-fixed-batch (the byte LM trainers step mean cross-entropy over ids of the profile's fixed (batch, length + 1); ByteLanguageModelConfig.batch is part of the profile) |
| byte-lm/wide                 | batchscale | IDENTICAL x3 | 145f7e4820523fac | 145f7e4820523fac | 145f7e4820523fac |
| byte-lm/wide                 | ragged | IDENTICAL x3 | 44b32eafb5d4fc26 | 44b32eafb5d4fc26 | 44b32eafb5d4fc26 |
| cross-entropy-arms/base      | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/base      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/base      | batch  | IDENTICAL x3 | baeb27de8f9d5d4e | baeb27de8f9d5d4e | baeb27de8f9d5d4e |
| cross-entropy-arms/base      | batchgrad | IDENTICAL x3 | 02a3f15d07bbc2e2 | 02a3f15d07bbc2e2 | 02a3f15d07bbc2e2 |
| cross-entropy-arms/base      | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/base      | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/denormal  | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/denormal  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/denormal  | batch  | IDENTICAL x3 | 368b2890f82387d0 | 368b2890f82387d0 | 368b2890f82387d0 |
| cross-entropy-arms/denormal  | batchgrad | IDENTICAL x3 | c8e563b44421b18a | c8e563b44421b18a | c8e563b44421b18a |
| cross-entropy-arms/denormal  | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/denormal  | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/denormal_ftz | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/denormal_ftz | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/denormal_ftz | batch  | IDENTICAL x3 | 1742cd6cfd13aced | 1742cd6cfd13aced | 1742cd6cfd13aced |
| cross-entropy-arms/denormal_ftz | batchgrad | IDENTICAL x3 | 8c51960f1be5145e | 8c51960f1be5145e | 8c51960f1be5145e |
| cross-entropy-arms/denormal_ftz | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/denormal_ftz | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/dupes     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/dupes     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/dupes     | batch  | IDENTICAL x3 | 99615b5b7eefcc98 | 99615b5b7eefcc98 | 99615b5b7eefcc98 |
| cross-entropy-arms/dupes     | batchgrad | IDENTICAL x3 | f8515603fe6ee6a1 | f8515603fe6ee6a1 | f8515603fe6ee6a1 |
| cross-entropy-arms/dupes     | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/dupes     | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/hashed    | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/hashed    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/hashed    | batch  | IDENTICAL x3 | 6d99f9849e7ebee8 | 6d99f9849e7ebee8 | 6d99f9849e7ebee8 |
| cross-entropy-arms/hashed    | batchgrad | IDENTICAL x3 | 1892cd94cc04dc22 | 1892cd94cc04dc22 | 1892cd94cc04dc22 |
| cross-entropy-arms/hashed    | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/hashed    | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/negative  | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/negative  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/negative  | batch  | IDENTICAL x3 | 23f90766bcd6066e | 23f90766bcd6066e | 23f90766bcd6066e |
| cross-entropy-arms/negative  | batchgrad | IDENTICAL x3 | f15e349d18fb5da7 | f15e349d18fb5da7 | f15e349d18fb5da7 |
| cross-entropy-arms/negative  | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/negative  | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/odd       | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/odd       | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/odd       | batch  | IDENTICAL x3 | baeb27de8f9d5d4e | baeb27de8f9d5d4e | baeb27de8f9d5d4e |
| cross-entropy-arms/odd       | batchgrad | IDENTICAL x3 | 02a3f15d07bbc2e2 | 02a3f15d07bbc2e2 | 02a3f15d07bbc2e2 |
| cross-entropy-arms/odd       | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/odd       | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/ties      | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/ties      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/ties      | batch  | IDENTICAL x3 | 71e2174735fef8f2 | 71e2174735fef8f2 | 71e2174735fef8f2 |
| cross-entropy-arms/ties      | batchgrad | IDENTICAL x3 | e5b9bfb2dcd279d9 | e5b9bfb2dcd279d9 | e5b9bfb2dcd279d9 |
| cross-entropy-arms/ties      | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/ties      | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| cross-entropy-arms/wide      | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-entropy-arms/wide      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| cross-entropy-arms/wide      | batch  | IDENTICAL x3 | dd64b8e660d6e999 | dd64b8e660d6e999 | dd64b8e660d6e999 |
| cross-entropy-arms/wide      | batchgrad | IDENTICAL x3 | f832963f445a424c | f832963f445a424c | f832963f445a424c |
| cross-entropy-arms/wide      | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| cross-entropy-arms/wide      | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/base          | infer  | IDENTICAL x3 | 9532e67b65b07c0b | 9532e67b65b07c0b | 9532e67b65b07c0b |
| embedding-sort/base          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/base          | batch  | IDENTICAL x3 | aed4235f48398286 | aed4235f48398286 | aed4235f48398286 |
| embedding-sort/base          | batchgrad | IDENTICAL x3 | ecc0aacf5059c13e | ecc0aacf5059c13e | ecc0aacf5059c13e |
| embedding-sort/base          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/base          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/denormal      | infer  | IDENTICAL x3 | d0c81bcb36e8ac05 | d0c81bcb36e8ac05 | d0c81bcb36e8ac05 |
| embedding-sort/denormal      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/denormal      | batch  | IDENTICAL x3 | 1d46be5f79dc46ad | 1d46be5f79dc46ad | 1d46be5f79dc46ad |
| embedding-sort/denormal      | batchgrad | IDENTICAL x3 | 4b2c51116cd33b83 | 4b2c51116cd33b83 | 4b2c51116cd33b83 |
| embedding-sort/denormal      | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/denormal      | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/denormal_ftz  | infer  | IDENTICAL x3 | 9ed8984c16e728bb | 9ed8984c16e728bb | 9ed8984c16e728bb |
| embedding-sort/denormal_ftz  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/denormal_ftz  | batch  | IDENTICAL x3 | 15b6791b83727e32 | 15b6791b83727e32 | 15b6791b83727e32 |
| embedding-sort/denormal_ftz  | batchgrad | IDENTICAL x3 | a000e8209f86d0dc | a000e8209f86d0dc | a000e8209f86d0dc |
| embedding-sort/denormal_ftz  | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/denormal_ftz  | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/dupes         | infer  | IDENTICAL x3 | 6097b151f828645e | 6097b151f828645e | 6097b151f828645e |
| embedding-sort/dupes         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/dupes         | batch  | IDENTICAL x3 | 87cc2100c8487475 | 87cc2100c8487475 | 87cc2100c8487475 |
| embedding-sort/dupes         | batchgrad | IDENTICAL x3 | 2b1d1bb8889484f9 | 2b1d1bb8889484f9 | 2b1d1bb8889484f9 |
| embedding-sort/dupes         | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/dupes         | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/hashed        | infer  | IDENTICAL x3 | e69443c9c64a170e | e69443c9c64a170e | e69443c9c64a170e |
| embedding-sort/hashed        | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/hashed        | batch  | IDENTICAL x3 | 607b839f338610b4 | 607b839f338610b4 | 607b839f338610b4 |
| embedding-sort/hashed        | batchgrad | IDENTICAL x3 | e8bcfb4416ffb9cd | e8bcfb4416ffb9cd | e8bcfb4416ffb9cd |
| embedding-sort/hashed        | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/hashed        | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/negative      | infer  | IDENTICAL x3 | 06de8cf62a5b291f | 06de8cf62a5b291f | 06de8cf62a5b291f |
| embedding-sort/negative      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/negative      | batch  | IDENTICAL x3 | 6dc8528de4a26793 | 6dc8528de4a26793 | 6dc8528de4a26793 |
| embedding-sort/negative      | batchgrad | IDENTICAL x3 | c908c03dd4ea9583 | c908c03dd4ea9583 | c908c03dd4ea9583 |
| embedding-sort/negative      | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/negative      | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/odd           | infer  | IDENTICAL x3 | 9532e67b65b07c0b | 9532e67b65b07c0b | 9532e67b65b07c0b |
| embedding-sort/odd           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/odd           | batch  | IDENTICAL x3 | aed4235f48398286 | aed4235f48398286 | aed4235f48398286 |
| embedding-sort/odd           | batchgrad | IDENTICAL x3 | ecc0aacf5059c13e | ecc0aacf5059c13e | ecc0aacf5059c13e |
| embedding-sort/odd           | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/odd           | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/ties          | infer  | IDENTICAL x3 | b2974b34e85e96d7 | b2974b34e85e96d7 | b2974b34e85e96d7 |
| embedding-sort/ties          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/ties          | batch  | IDENTICAL x3 | b0d9ee4cb0d2cc65 | b0d9ee4cb0d2cc65 | b0d9ee4cb0d2cc65 |
| embedding-sort/ties          | batchgrad | IDENTICAL x3 | 3983631b8bdb67f6 | 3983631b8bdb67f6 | 3983631b8bdb67f6 |
| embedding-sort/ties          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/ties          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding-sort/wide          | infer  | IDENTICAL x3 | 3da637530f040675 | 3da637530f040675 | 3da637530f040675 |
| embedding-sort/wide          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| embedding-sort/wide          | batch  | IDENTICAL x3 | 7772d3b456315c74 | 7772d3b456315c74 | 7772d3b456315c74 |
| embedding-sort/wide          | batchgrad | IDENTICAL x3 | d6863d33af00378f | d6863d33af00378f | d6863d33af00378f |
| embedding-sort/wide          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| embedding-sort/wide          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis | n/a:no-sequence-axis |
| embedding/base               | infer  | IDENTICAL x3 | 9532e67b65b07c0b | 9532e67b65b07c0b | 9532e67b65b07c0b |
| embedding/base               | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      |
