# what of theirs	status	why, and where it would go
cuvs cluster/detail/connectivities.cuh::distance_graph_impl<Linkage::KNN_GRAPH> (:60-108) + neighbors/detail/knn_graph.cuh	NOT PORTED, AND IT IS cuML's PYTHON DEFAULT	cuML `AgglomerativeClustering(connectivity="knn", c=15)` (agglomerative.pyx:123-125) takes this arm: a k-NN graph with k = log(n) + c, symmetrized, self-loops FLT_MAX, CSR via sorted_coo_to_csr. The C++ default (linkage.hpp:51, use_knn=false) and scikit-learn's `AgglomerativeClustering(linkage="single")` are the PAIRWISE arm, which is rung 1 and is what is ported. use_knn=True RAISES BY NAME at get_distance_graph. Rung 2 would put it beside the PAIRWISE impl in connectivities.mojo and call neighbors/ported's brute-force k-NN for the graph
cuvs cluster/detail/mst.cuh::connect_knn_graph (both overloads, :74-123 and :139-249), merge_msts (:39-59); cuvs sparse/neighbors/cross_component_nn.cuh (the 1-nn across components and its FixConnectivitiesRedOp)	NOT PORTED (rung 2)	the fix-up for a knn graph whose MST is a forest: cross-component nearest neighbors, a second mst() call with the existing colors, merge. On the PAIRWISE connectivity the graph is complete, Boruvka returns one component on the first call and the loop body is never entered; build_sorted_mst keeps the loop's shape and raises by name inside it. The host overload (:139-249) picks one RANDOM vertex per component with std::mt19937 seeded from std::random_device -- a second non-reproducibility rung 2 must replace (lowest vertex index per component is the obvious pin)
raft sparse/solver/detail/mst_solver_inl.cuh::alteration, alteration_max, alteration_functor, curand_generate_uniformX; mst_kernels.cuh::alteration_kernel	REPLACED, DEVIATION 620	the cuRAND-drawn per-vertex alteration that makes weights distinct; ours is the total order (weight bits, min(u,v), max(u,v)) with the per-color min in three integer atomicMin phases. hierarchy/original/edge_order.mojo has the block and the measurement
raft sparse/op/detail/sort.h::coo_sort_by_weight (thrust::sort_by_key on weight)	REPLACED, DEVIATION 621	unstable, weight-only; ours is a host merge sort on the same total order. hierarchy/derived/sparse/op/sort.mojo
cuvs cluster/detail/connectivities.cuh::pairwise_distances returning a matrix that holds NaN (:157-176; a non-finite row, or two rows whose squared norms overflow Float32)	REFUSED BY NAME, DEVIATION 623	theirs hands the NaN to the MST (altered NaN, every `<` false, NaN out through temp_weights); ours scans the matrix once after the self-loop transform and raises with the NaN cell count, because a computed NaN's payload is the vendor's (IDENTITY_PATHS row 39) and linkage_main.mojo records linkage.dists / linkage.mst.weights as bytes. hierarchy/original/nan_guard.mojo
cuvs cluster/detail/agglomerative.cuh::UnionFind::find path compression (:64-68)	REPLACED, DEVIATION 622	reads parent[-1] and writes parent[n_indices-1] on every find of a root; ours is the textbook compression; roots identical, gated by check_linkage_union_find_matches_a_naive_one
cuvs cluster/detail/single_linkage.cuh::build_mr_linkage (:50-118); neighbors/detail/reachability.cuh::mutual_reachability_graph; MutualReachabilityFixConnectivitiesRedOp	NOT PORTED	HDBSCAN's linkage (core distances, mutual reachability), not single linkage's; it is the ROADMAP's Phase 1 and would reuse this lane's mst_solver.mojo and agglomerative.mojo unchanged
cuvs cluster/agglomerative.hpp helpers::build_linkage and the linkage_graph_params variant	NOT PORTED	the HDBSCAN-facing helper surface over build_dist_linkage / build_mr_linkage; nothing single-linkage reaches it
cuml distance metrics L1 (3), CosineExpanded (2), and every DistanceType other than L2Expanded (0) / L2SqrtExpanded (1)	REFUSED BY NAME	pairwise_distance_kmeans itself raises on them (kmeans_common.cuh:320); cuML's Python maps "l1"/"cityblock"/"manhattan" and "cosine" to them. A port would need cuvs::distance's L1 / cosine kernels in connectivities.mojo's distance step
raft sparse/solver mst(): symmetrize_output=true arm (add_reverse_edge, max_mst_edges = 2v-2)	PORTED, UNREACHED	single linkage passes symmetrize_output=false (mst.cuh:297-298); add_reverse_edge is transliterated in mst_kernels.mojo and nothing launches it. Would be reached by a caller wanting a symmetric MST edge list
raft MST_solver's device-properties launch sizing (maxGridSize, maxThreadsPerBlock, multiProcessorCount; mst_solver_inl.cuh:89-91)	REPLACED BY A PARAMETER	`tpb` (default 256) on MST_solver / build_sorted_mst / single_linkage, so the check can run the same problem at two block sizes and require the same bytes; the per-row kernel keeps their fixed 32
mst_solver_inl.cuh iterations > 0 early cap; Graph_COO resize	honored / not applicable	iterations=0 (their default, bound v) is what build_sorted_mst passes; Mojo buffers are allocated at max_mst_edges and n_edges says how many are live
Int32 vertex/edge indices only (their vertex_t/edge_t templates at int)	PORTED AT int ONLY	cuML instantiates single_linkage<float, int>; n_rows <= 46340 is the honest bound for the dense CSR and is refused by name past it
