NOTE: --lanes scopes this diff to 2 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_search_host', '_mojolearn_linalg_host', '_mojolearn_metrics_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host'] commit=0a6957015651d05a9dff94668ac843b8202a3c23
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_metrics_host'] commit=33ac888dd92dee04a02b15ea57a39cddf1783857
| lane/fixture                 | verdict    | cpu-amd-epyc-9754-128-core-processor | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|
| spectral-precomputed/base    | IDENTICAL x2 | 8df6d51dbff9ddaf | 8df6d51dbff9ddaf |
| spectral-precomputed/denormal | IDENTICAL x2 | 134d1fdd8654374a | 134d1fdd8654374a |
| spectral-precomputed/denormal_ftz | IDENTICAL x2 | 134d1fdd8654374a | 134d1fdd8654374a |
| spectral-precomputed/dupes   | IDENTICAL x2 | 8df6d51dbff9ddaf | 8df6d51dbff9ddaf |
| spectral-precomputed/hashed  | IDENTICAL x2 | fafd67318e66c8e9 | fafd67318e66c8e9 |
| spectral-precomputed/negative | IDENTICAL x2 | 6231ccf8fca2283f | 6231ccf8fca2283f |
| spectral-precomputed/odd     | IDENTICAL x2 | bbe40df82c9e623a | bbe40df82c9e623a |
| spectral-precomputed/ties    | IDENTICAL x2 | 32ed236da838cb22 | 32ed236da838cb22 |
| spectral-precomputed/wide    | IDENTICAL x2 | ebeb9c5c4008a66d | ebeb9c5c4008a66d |
| spectral/base                | IDENTICAL x2 | 7dd80ac8f13fc9eb | 7dd80ac8f13fc9eb |
| spectral/denormal            | IDENTICAL x2 | 4544b0d64dd6ad84 | 4544b0d64dd6ad84 |
| spectral/denormal_ftz        | IDENTICAL x2 | 4544b0d64dd6ad84 | 4544b0d64dd6ad84 |
| spectral/dupes               | IDENTICAL x2 | 7dd80ac8f13fc9eb | 7dd80ac8f13fc9eb |
| spectral/hashed              | IDENTICAL x2 | 2bd3b69e87fa6b9b | 2bd3b69e87fa6b9b |
| spectral/negative            | IDENTICAL x2 | de29c53c40a728c5 | de29c53c40a728c5 |
| spectral/odd                 | IDENTICAL x2 | a48b941d2c585a12 | a48b941d2c585a12 |
| spectral/ties                | IDENTICAL x2 | f160e7dc7c262f73 | f160e7dc7c262f73 |
| spectral/wide                | IDENTICAL x2 | d1857f998728ef34 | d1857f998728ef34 |

summary: IDENTICAL=18

| lane/fixture                 | column | verdict      | cpu-amd-epyc-9754-128-core-processor | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|--------|--------------|------------------|------------------|
| spectral-precomputed/base    | infer  | DIVERGENT    | bb2835f47f32e74d | b65c4d613f0bfc8c |
| spectral-precomputed/base    | model  | IDENTICAL x2 | 6b04b89cfa623e45 | 6b04b89cfa623e45 |
| spectral-precomputed/base    | batch  | DIVERGENT    | 403839d9afb03ede | 08a819015c790975 |
| spectral-precomputed/denormal | infer  | DIVERGENT    | 7cd8401e0437ce89 | f9d75510ea82105d |
| spectral-precomputed/denormal | model  | IDENTICAL x2 | 0df4233607620b15 | 0df4233607620b15 |
| spectral-precomputed/denormal | batch  | DIVERGENT    | 600fc84e875132a6 | 84b417effa61b507 |
| spectral-precomputed/denormal_ftz | infer  | DIVERGENT    | 7cd8401e0437ce89 | f9d75510ea82105d |
| spectral-precomputed/denormal_ftz | model  | IDENTICAL x2 | 0df4233607620b15 | 0df4233607620b15 |
| spectral-precomputed/denormal_ftz | batch  | DIVERGENT    | 600fc84e875132a6 | 84b417effa61b507 |
| spectral-precomputed/dupes   | infer  | DIVERGENT    | bb2835f47f32e74d | b65c4d613f0bfc8c |
| spectral-precomputed/dupes   | model  | IDENTICAL x2 | 6b04b89cfa623e45 | 6b04b89cfa623e45 |
| spectral-precomputed/dupes   | batch  | DIVERGENT    | 403839d9afb03ede | 08a819015c790975 |
| spectral-precomputed/hashed  | infer  | DIVERGENT    | 3aed3a887e2b0c41 | 21f4d76658a01eae |
| spectral-precomputed/hashed  | model  | IDENTICAL x2 | 57673edfae833da5 | 57673edfae833da5 |
| spectral-precomputed/hashed  | batch  | DIVERGENT    | f37e31ace943997d | c457c547770f5d4d |
| spectral-precomputed/negative | infer  | DIVERGENT    | 423f584e1c5cce33 | 4bc026c9edca7dda |
| spectral-precomputed/negative | model  | IDENTICAL x2 | 8ff2c152fc6fba9f | 8ff2c152fc6fba9f |
| spectral-precomputed/negative | batch  | DIVERGENT    | 43d927a591f2c6fa | 3eb433bfb1859d79 |
| spectral-precomputed/odd     | infer  | DIVERGENT    | dce8f63e8bca9703 | 08769a00bcb95573 |
| spectral-precomputed/odd     | model  | IDENTICAL x2 | c9fda73cee1e07c0 | c9fda73cee1e07c0 |
| spectral-precomputed/odd     | batch  | DIVERGENT    | b7fdd3972dd692b3 | 36bafabf9b45f9f7 |
| spectral-precomputed/ties    | infer  | DIVERGENT    | 77b660ca4b2a42e2 | b949cadfcdd521ec |
| spectral-precomputed/ties    | model  | IDENTICAL x2 | ea7aeb5dfe06471c | ea7aeb5dfe06471c |
| spectral-precomputed/ties    | batch  | DIVERGENT    | eba1461e59f20122 | ac743c79f0679257 |
| spectral-precomputed/wide    | infer  | DIVERGENT    | c0ba56eeb5dcea34 | 254db580e845512d |
| spectral-precomputed/wide    | model  | IDENTICAL x2 | 710be55734b0c960 | 710be55734b0c960 |
| spectral-precomputed/wide    | batch  | DIVERGENT    | 73a372dffb458803 | 84b417effa61b507 |
| spectral/base                | infer  | DIVERGENT    | 252d693ce8954a7e | 00322041c9cc548b |
| spectral/base                | model  | IDENTICAL x2 | 1b89aeaedeac5981 | 1b89aeaedeac5981 |
| spectral/base                | batch  | DIVERGENT    | 68d103065457bdaa | 091d51b0b9329b64 |
| spectral/denormal            | infer  | DIVERGENT    | 41cfed914e997e4a | cd8a7c5cd8dbae4a |
| spectral/denormal            | model  | IDENTICAL x2 | 63a598141f3cbf85 | 63a598141f3cbf85 |
| spectral/denormal            | batch  | DIVERGENT    | af103996c2ce50c5 | 254a82f7fead2808 |
| spectral/denormal_ftz        | infer  | DIVERGENT    | 41cfed914e997e4a | cd8a7c5cd8dbae4a |
| spectral/denormal_ftz        | model  | IDENTICAL x2 | edb811cffe7ef57f | edb811cffe7ef57f |
| spectral/denormal_ftz        | batch  | DIVERGENT    | af103996c2ce50c5 | 254a82f7fead2808 |
| spectral/dupes               | infer  | DIVERGENT    | 252d693ce8954a7e | 00322041c9cc548b |
| spectral/dupes               | model  | IDENTICAL x2 | 1b89aeaedeac5981 | 1b89aeaedeac5981 |
| spectral/dupes               | batch  | DIVERGENT    | 68d103065457bdaa | 091d51b0b9329b64 |
| spectral/hashed              | infer  | DIVERGENT    | 8e4d2de3f42d1571 | 6175b380605638cd |
| spectral/hashed              | model  | IDENTICAL x2 | 92c66bfb60b1f212 | 92c66bfb60b1f212 |
| spectral/hashed              | batch  | DIVERGENT    | 0ea88ebb9dcaef81 | 50a9bc1c932e0502 |
| spectral/negative            | infer  | DIVERGENT    | 6d78adfd2ea1b751 | 7504d5efb9281cf9 |
| spectral/negative            | model  | IDENTICAL x2 | a3950cc8f5d8617d | a3950cc8f5d8617d |
| spectral/negative            | batch  | DIVERGENT    | 0898daabc88de8ea | 02b8a28578865fe6 |
| spectral/odd                 | infer  | DIVERGENT    | e828522cfb3e88df | de7ed64cc6732e57 |
| spectral/odd                 | model  | IDENTICAL x2 | 4aed479c8b8737e9 | 4aed479c8b8737e9 |
| spectral/odd                 | batch  | DIVERGENT    | dbd0ad4d046044c7 | f7a59cc7e56e6b77 |
| spectral/ties                | infer  | DIVERGENT    | b2fb7d1e31bef33f | 88d389d7b8f54450 |
| spectral/ties                | model  | IDENTICAL x2 | d2c3cfca89b27058 | d2c3cfca89b27058 |
| spectral/ties                | batch  | DIVERGENT    | 006f4a6b2b116959 | 3ec1e0d2cde2fc62 |
| spectral/wide                | infer  | DIVERGENT    | c5f9020b366690e4 | c5a055b7b954c4cf |
| spectral/wide                | model  | IDENTICAL x2 | f3a75e6620142ae2 | f3a75e6620142ae2 |
| spectral/wide                | batch  | DIVERGENT    | 5153cbc0fd4c4cb0 | 730269c7abbac058 |

summary (infer/model): DIVERGENT=18, IDENTICAL=18
summary (batch): DIVERGENT=18
summary (rlpair): 
