# our_file	upstream_file	status	notes
# transformers pinned at d56c55bf564ddb176759eb6ec199442682564916 (the checkout at /Users/andrewhendel/CascadeProjects/upstream/transformers, HEAD read 2026-08-24; every line number below was verified against that tree, not copied from the contract). The device spelling is profile mojolearn.identical.transformer.fp32.v1 and its clause-by-clause authority is transformer/IDENTICAL_TRANSFORMER_CONTRACT.md, which is FROZEN.
# PORTED IS OURS. These files MIRROR upstream; the derivative-work language lives in NOTICE and nowhere else.
# NOTHING IN THIS COLUMN HAS BEEN COMPILED OR RUN as of 2026-08-25. "transliterated" describes the transcription, not a passing test.
derived/transformers/models/llama/modeling_llama.mojo::llama_rms_norm_kernel, ::llama_rms_norm	transformers src/transformers/models/llama/modeling_llama.py::LlamaRMSNorm.forward (:62-67)	transliterated	Seams S1-S4. DUPLICATE AND MEANT TO BE DELETED (DEVIATION 1025): it is mamba/derived/transformers/models/mamba/modeling_mamba.mojo::mamba_rms_norm_kernel (:529-575) with the module constant RMS_EPS replaced by an eps argument and nothing else changed. Contract section 0 marks RMSNorm REUSED; the mamba kernel reads RMS_EPS = 1e-5 at mamba/original/mamba_fixture.mojo:44 and Llama needs 1e-6, so the reuse is blocked on DEVIATION 801, a cross-lane edit this lane may not make. One call site each, so the swap is two lines
derived/transformers/models/llama/modeling_llama.mojo::llama_rope_inv_freq_host	modeling_llama.py::LlamaRotaryEmbedding.compute_default_rope_parameters (:93-109)	transliterated	Seam S6, on the HOST, once per (theta, head_dim). Their `1.0 / (base ** (arange(0, dim, 2).float() / dim))` (:108) becomes two identical_div calls around portable_powf. NOT the host libm pow: a constant computed by the build machine's libm is IDENTITY_PATHS row 18 applied to a table, so three hosts would seed three tables. DEVIATION 809
derived/transformers/models/llama/modeling_llama.mojo::llama_rope_table_kernel, ::LlamaRopeTable	modeling_llama.py::LlamaRotaryEmbedding.forward (:113-127)	transliterated	Seams S7 and S8, on the DEVICE, once per configuration, indexed by ABSOLUTE position. `emb = cat(freqs, freqs)` (:123) is NOT materialized: cos[j] and cos[j+half] are the same value, so only [p_max, head_dim/2] is stored and column j reads j % half. The `* attention_scaling` at :124-125 is exactly 1.0 for rope_type "default" and is bit-inert, so it is NOT SPELLED. identical_cos and identical_sin share _cephes_sincosf_core, so both halves of one rotation come from one certified reduction. DEVIATIONS 810, 812
derived/transformers/models/llama/modeling_llama.mojo::apply_rotary_pos_emb_kernel, ::apply_rotary_pos_emb	modeling_llama.py::rotate_half (:130-134) + ::apply_rotary_pos_emb (:138-160)	transliterated	Seams S9 and S10. rotate_half's cat(-x2, x1) is an INDEX MAP inside the kernel, never a materialized concatenation. S10 is UNFUSED (two pinned_mul roundings then a plain add) because :158 rounds both products before adding; an fma is one rounding where the reference has three. DEVIATION 811. ONE kernel serves q and k because :158-159 applies one function to both
derived/transformers/models/llama/modeling_llama.mojo::kv_append_kernel	modeling_llama.py::LlamaAttention.forward past_key_values.update (:261-262)	replaced	COPIES, NOT A SEAM. Their DynamicCache.update is a torch.cat; ours is an out-of-place repack at the NEW stride S, DEVIATION 1022, because contract section 9 records kv.k_cache as the packed [B, n_kv, S, head_dim] and the stride grows every call. Out of place is also upstream's shape, since cat allocates
derived/transformers/models/llama/modeling_llama.mojo::attn_scale_kernel	modeling_llama.py::eager_attention_forward (:204, the `* scaling`)	transliterated	Seam S12, PRODUCT, applied to the FINISHED dot and never folded into q. The scale itself is llama_attention_scale, `self.scaling = self.head_dim ** -0.5` (LlamaAttention.__init__ :226) pinned as a host identical_rsqrt. DEVIATION 802
derived/transformers/models/llama/modeling_llama.mojo::attn_mask_kernel	modeling_llama.py::eager_attention_forward (:205-206) with masking_utils.py:601-603	transliterated	Seam S13, an ADD and never a select, of -3.4028234663852886e+38 (0xFF7FFFFF) where masked and of +0.0 where not. The +0.0 may NOT be elided: it launders a -0.0 score, IDENTITY_PATHS row 39. -FLT_MAX and not -inf, because -inf minus -inf is a NaN whose payload is vendor-shaped. Causal only. DEVIATION 803
derived/transformers/models/llama/modeling_llama.mojo::attn_max_kernel	modeling_llama.py::eager_attention_forward (:208, softmax's row max)	replaced	Seam S14 through identical_fmax (DEVIATION 825), the total-order selection with no float compare. core/pinned_reduce.mojo::pinned_block_max is REFUSED (contract 5.1): its fold is a plain `>` compare and max(+0.0, -0.0) was MEASURED as -0.0 on Apple and +0.0 on NVIDIA and AMD. The fold SHAPE is free here and nowhere else in the profile. DEVIATION 804
derived/transformers/models/llama/modeling_llama.mojo::attn_exp_kernel	modeling_llama.py::eager_attention_forward (:208, softmax's exp)	transliterated	Seams S15 and S16. identical_exp, IDENTITY_PATHS row 12's polynomial, not the hardware exp and not exp2 with the scale folded in (which is what MAX's own attention kernels do). This kernel is where the masked tail becomes exactly +0.0, which is the fact contract section 7's whole theorem rests on
derived/transformers/models/llama/modeling_llama.mojo::attn_denom_kernel	modeling_llama.py::eager_attention_forward (:208, softmax's denominator)	replaced	Seam S17, a SERIAL ASCENDING CHAIN over the ABSOLUTE key index from +0.0 with plain adds, one thread per row. core/pinned_reduce.mojo::pinned_block_sum is REFUSED (contract 5.3) and the refusal is NOT about determinism: a halving tree is perfectly launch-invariant and simply a different sum. This is what makes decode equal prefill. The price is that a row's fold may not be split across threads. DEVIATION 805
derived/transformers/models/llama/modeling_llama.mojo::attn_weights_kernel	modeling_llama.py::eager_attention_forward (:208, softmax's normalize)	replaced	Seam S18, ONE identical_div per weight, never a reciprocal multiplied in. THE REFERENCE'S OWN SPELLING COULD NOT BE VERIFIED: nn.functional.softmax dispatches into ATen and there is no PyTorch checkout on this machine (contract 5.4). The division is pinned because it is the one-rounding spelling, which is a stated gap and not a decision made on evidence. DEVIATION 806
derived/transformers/models/llama/modeling_llama.mojo::attn_context_kernel	modeling_llama.py::eager_attention_forward (:210, matmul(attn_weights, value_states))	replaced	Seam S19, SERIAL ASCENDING over the ABSOLUTE key index from +0.0 with fma, one thread per output cell. DELIBERATELY NOT a gemm.fp32.v1 call: the key axis LENGTH differs between prefill and decode, so the gemm's P = f(k) topology would fold two different trees over the same numbers. S11 may be a gemm call for exactly the opposite reason. DEVIATION 807 and contract section 7.2
derived/transformers/models/llama/modeling_llama.mojo::gather_q_head_kernel, ::gather_kv_head_kernel, ::scatter_scores_kernel	modeling_llama.py::eager_attention_forward (:204's matmul operand layout)	replaced	COPIES, NOT SEAMS. gemm.fp32.v1 takes only contiguous row-major operands (gemm contract section 2) and q_rope.out is token-major, so one head's [L, head_dim] block is strided. DEVIATION 1021. repeat_kv (:179-188) is folded into these as the index map h // n_rep and is never materialized (DEVIATION 813)
derived/transformers/models/llama/modeling_llama.mojo::eager_attention_forward	modeling_llama.py::eager_attention_forward (:191-213)	transliterated	The whole eager path, nine kernels and B*n_heads gemm calls, one recorded stage per clause. FlashAttention, SDPA, paged attention and chunked prefill are all OUT OF SCOPE and contract section 6 is the argument: an online softmax's rescale count is the KV TILE COUNT, an execution-plan quantity, which is a summation order the contract cannot reach by pinning a fold topology
derived/transformers/models/llama/modeling_llama.mojo::llama_attention_forward	modeling_llama.py::LlamaAttention.forward (:243-281)	transliterated	Seam S11 is a gemm.fp32.v1 OP_NT cell per (batch, head) with k = head_dim (DEVIATION 808); S5's q/k/v/o projections are four more OP_NT cells. view, transpose and the reshape at :279 are COPIES that live in index arithmetic and are never materialized. attention_interface (:264-266) is pinned to eager and the run-time dispatch at ALL_ATTENTION_FUNCTIONS is refused
derived/transformers/models/llama/modeling_llama.mojo::silu_kernel, ::mlp_gated_kernel, ::llama_mlp_forward	modeling_llama.py::LlamaMLP.forward (:174-176)	transliterated	Seams S20 and S21 plus three OP_NT gemm cells. identical_silu is the reference's SINGLE QUOTIENT z / (1 + exp(-z)), one rounding, and not z * sigmoid(z), which is two and which is what MAX itself spells. DEVIATION 744. down_proj's k = intermediate_size is the ONE cell in a small config where the gemm's balanced fold tree runs at all
derived/transformers/models/llama/modeling_llama.mojo::llama_decoder_layer_forward	modeling_llama.py::LlamaDecoderLayer.forward (:295-324)	transliterated	THE ENTRY POINT. Seams S22 and S23 are residual_add_kernel IMPORTED from mamba/derived/transformers/models/mamba/modeling_mamba.mojo (contract section 0 marks the residual add REUSED); pinned_mul is imported from the same file, which is the IMPORT arm of DEVIATION 816 rather than a fourth copy. Emits exactly the thirty stages of contract section 9 in section 9's order
derived/transformers/models/llama/modeling_llama.mojo::llama_refuse_bad_inputs	none (a policy, not an upstream symbol)	mojo-only	Contract section 8 refuses a NaN or an infinity BY NAME before any recorded stage, because NaN payloads are vendor-shaped (row 39 measured 0x7fc00000 Apple, 0x7fffffff NVIDIA, 0xffc00000 AMD). Tested BY BITS and not by compares, because Metal FLUSHES COMPARE OPERANDS (row 49). Covers INPUTS only; a nonfinite INTERMEDIATE is a stated gap, DEVIATION 815. DEVIATION 1027
derived/transformers/models/llama/modeling_llama.mojo::LlamaDims, ::LlamaDeviceWeights, ::LlamaKVCache, ::LlamaDeviceStages	modeling_llama.py::LlamaAttention.__init__ (:221-242) + configuration_llama.py:64-89	replaced	Shape, parameters, state and the thirty stage buffers. No bias field exists anywhere: attention_bias and mlp_bias are both False at the config defaults (configuration_llama.py:81, :83) and contract section 2 REFUSES a nonzero bias rather than specifying where it would round. GQA is admitted, n_kv_heads is free, and repeat_kv is a declared COPY (DEVIATION 813)
derived/transformers/models/llama/modeling_llama.mojo::_plant_bits, ::PLANT_AT_SCORES, ::PLANT_AT_MASKED	none (a fixture mechanism, not an upstream symbol)	mojo-only	The device twin of transformer_oracle.mojo::_apply_plant, at the SAME two injection points and with the SAME two integer codes (transformer_fixture.mojo:925, :930), restated rather than imported because this file may not import from transformer/original/. Without it three sabotage arms cannot be fired at all: contract 4.1(a) needs a -0.0 SCORE, 4.1(b) needs a score of magnitude about 1e35, and 5.1 needs a -0.0 beside a +0.0 in one row, and no assignment of finite weights produces any of them. Done as a host round trip rather than a kernel so that it uses only device I/O forms the mamba lane has already run
