# upstream	status	why / where it would go
# transformers pinned at d56c55bf564ddb176759eb6ec199442682564916. Read on disk 2026-08-24 at /Users/andrewhendel/CascadeProjects/upstream/transformers. This file records what profile mojolearn.identical.transformer.fp32.v1 DELIBERATELY does not port, so that a later reader does not mistake an absence for an oversight. Contract section 11 is the normative list; this is the same list against upstream symbols.
modeling_llama.py::LlamaModel (:347-419), ::LlamaForCausalLM (:421-493), ::LlamaForSequenceClassification (:495), ::LlamaForQuestionAnswering (:498), ::LlamaForTokenClassification (:502), ::LlamaPreTrainedModel (:328-345)	NOT PORTED, and deliberately not	ONE BLOCK, NOT A MODEL (contract section 11). No embedding, no lm_head, no logit, no token, no sampling, no argmax, no multi-layer residual stream. The stacking, the cache plumbing and the heads are all outside the profile. IDENTICAL_GEMM_PLAN.md's sketch item 7 (deterministic argmax first, seeded sampling later) is explicitly out of scope
transformers ALL_ATTENTION_FUNCTIONS dispatch at modeling_llama.py:264-266 (sdpa, flash_attention_2, flex_attention)	NOT PORTABLE UNDER AN IDENTITY CLAIM	SDPA chooses its backend at RUN TIME, which means the arithmetic is chosen at run time, which is the same class of defect as a vendor BLAS dispatch (IDENTITY_PATHS row 40's pathway column). v1 pins eager_attention_forward and nothing else. Contract section 6
max/kernels/src/nn/attention/gpu/mha.mojo::mha_single_batch, ::mha_decoding_single_batch, ::mha_splitk_reduce, and softmax.mojo::_online_softmax_correction	NOT PORTED, and it is a v2 at the earliest	FlashAttention is not a faster spelling of the same arithmetic, it is an ONLINE softmax. The number of exp(old_max - new_max) rescalings is the number of KV TILES and the tile size is an execution-plan quantity, so two vendors with different tile widths perform different numbers of rounded rescalings on one row. The decode path splits K further and combines per-partition exp_sum with a partition count chosen from the shape and the machine. And the exponent base is exp2 with the 1/sqrt(d) scale folded into scale_log2e, so even the per-element arithmetic differs from exp(s - m). A bit-identical online softmax is a real object and it needs its own contract, its own oracle and its own separating fixtures. Contract section 6
core/pinned_reduce.mojo::pinned_block_sum (:73)	REFUSED, not merely unused	It is a HALVING TREE. A halving tree is perfectly deterministic and perfectly launch-invariant and it computes a DIFFERENT SUM from the profile's serial ascending chain (contract 5.3). Reaching for the deterministic block fold BECAUSE it is the deterministic block fold is the single most likely way to get seam S17 wrong, and it would be wrong in a way that passes every launch-invariance gate. Sabotage S17_DENOM_HALVING_TREE is the arm
core/pinned_reduce.mojo::pinned_block_max (:159), ::pinned_block_min (:193)	REFUSED, not merely unused	pinned_block_max's fold is a plain `other > red[tid]` compare, which is precisely the spelling IDENTITY_PATHS row 13 closed everywhere else, and its own block comment says a caller whose inputs can carry +-0.0 or NaN must say why before using it. This caller cannot say why: max(+0.0, -0.0) was MEASURED on 2026-08-23 as -0.0 on Apple and +0.0 on NVIDIA and AMD. identical_fmax (DEVIATION 825) is the replacement. Contract 5.1
modeling_rope_utils.py ROPE_INIT_FUNCTIONS: linear, dynamic, yarn, longrope, llama3	NOT PORTED	Only rope_type "default" is in the profile (contract section 11). Every other type carries an attention_scaling that is not exactly 1.0, so the multiply at modeling_llama.py:124-125 stops being bit-inert and becomes a seam this contract does not specify, and several compute the inverse frequencies a different way
masking_utils.py sliding-window, chunked, prefix and packed mask builders; attention sinks	NOT PORTED	NOT ANY MASK BUT THE CAUSAL ONE (contract section 11). The one mask value that IS ported is finfo(dtype).min at masking_utils.py:601-603, as an ADD
modeling_llama.py::LlamaMLP with mlp_bias True, ::LlamaAttention with attention_bias True	REFUSED BY NAME	Both default False (configuration_llama.py:81, :83). Contract section 2 refuses a nonzero bias rather than specifying where it would round, so there is no bias field in LlamaDeviceWeights to pass one through. Same for attention_dropout, which is 0.0 and refused for the same reason
transformers GELU in every form, torch.tanh, torch.erf	LANDED IN NUMERICS AND NOT USED HERE	Llama's activation is SiLU. The numerics lane's DEVIATIONS 821-824 landed portable_tanhf, portable_erff and both GELU forms on 2026-08-24 for whoever pins a GPT-shaped or BERT-shaped block. They are not seams of this profile and the contract does not specify them
torch autograd, LlamaDecoderLayer's GradientCheckpointingLayer base, nn.functional.dropout at modeling_llama.py:209	NOT PORTED	No training, no backward, no dropout. Inference only
BF16, FP16, FP8, TF32, any quantization, and FP64 anywhere on device	NOT PORTED	FP32 for weights, activations, accumulators, the KV cache and the rotary table, FROZEN by contract section 3 (Andrew's order). Metal has no float64 on device at all
ATen's own softmax kernel (aten/src/ATen/native/cuda/SoftMax.cu)	COULD NOT BE READ	There is no PyTorch checkout in /Users/andrewhendel/CascadeProjects/upstream/, so whether the reference divides or multiplies by a reciprocal at seam S18 is NOT KNOWN to this lane. Contract 5.4 records it as a stated gap and the profile pins the division on the one-rounding argument alone. FIRST THING TO CHECK when a PyTorch checkout lands
max/graph, the MAX serving layer, the kv_cache package	COULD NOT BE READ	Only max/kernels/ is present in the modular checkout. Where a MAX symbol is cited from outside max/kernels/ the contract says it could not be read rather than guessing a path, and this lane kept that rule
transformer/corpus/	EXISTS, NEVER RUN	The independent float64 torch reference, on the mamba lane's corpus pattern. The directory is on disk, committed 82173423 on 2026-08-25: transformer/corpus/gen_corpus.py (85 KB, a pure-torch re-implementation of modeling_llama.py with each step cited by symbol and line), transformer/corpus/README.md, and the checker tools/transformer_corpus_check.py. Its own README says nothing in it has been executed by its author, no ref64/ or ref32/ case data is on disk, and no pixi.toml task invokes it (the mamba sibling's is check-mamba-corpus at pixi.toml:1103). So agreement with a float64 reference to a stated tolerance is STILL claimed nowhere; what changed is that the instrument now exists and the debt is a RUN plus a task line, not a file
