# folded 2197 of 3398 activities (cut at 1201); kernel+copy time 1302.533 ms; wall span 18059.167 ms
name	launches	total_ms	mean_us	share	reg_per_thread	static_smem	dyn_smem	grid	block	full_name
gemm_checks_gemm_identical_id6A6A6A6A6A6A_2f61943385da6777	342	601.252	1758.0	0.4616	255	0.034	0.000	384x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_2f61943385da6777
gemm_checks_gemm_identical_id6A6A6A6A6A6A_1c3bb68df19fa345	168	185.832	1106.1	0.1427	255	0.034	0.000	96x8x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_1c3bb68df19fa345
fused_6#e8ff	24	136.566	5690.3	0.1048	96	0.015	0.000	3072x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
[CUDA memcpy Device-to-Host]	323	92.338	285.9	0.0709				xx	xx	[CUDA memcpy Device-to-Host]
fused_6#5c2b	24	67.805	2825.2	0.0521	63	0.010	0.000	6144x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
fused_6#bac9	24	59.651	2485.4	0.0458	128	0.008	0.000	1536x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
fused_6#2e67	24	50.479	2103.3	0.0388	63	0.012	0.000	3072x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2	2	12.010	6005.0	0.0092	46	0.003	0.000	256x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb	88	11.074	125.8	0.0085	16	0.001	0.000	512x1x1	256x1x1	core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf	168	8.850	52.7	0.0068	38	0.000	0.000	6144x1x1	256x1x1	gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886	48	8.595	179.1	0.0066	22	0.000	0.000	512x1x1	16x1x1	transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae	2	4.488	2243.8	0.0034	24	0.000	0.000	1608224x1x1	256x1x1	training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c	2	4.485	2242.5	0.0034	30	0.000	0.000	1608224x1x1	256x1x1	training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
transformer_checks_transformer6A6A6A6A_701f75a72b36f978	24	4.375	182.3	0.0034	17	0.000	0.000	131072x1x1	128x1x1	transformer_checks_transformer6A6A6A6A_701f75a72b36f978
embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f	2	4.101	2050.4	0.0031	20	0.000	0.000	1x1x1	1x1x1	embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f
fused_6#a5fd	168	4.050	24.1	0.0031	16	0.001	0.000	512x1x1	256x1x1	transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7	48	3.956	82.4	0.0030	27	0.000	0.000	512x1x1	16x1x1	transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde	2	3.828	1914.0	0.0029	28	0.000	0.000	1608224x1x1	256x1x1	training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6	2	3.514	1757.2	0.0027	28	0.000	0.000	633390x1x1	256x1x1	training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
