raft linalg/gemm.hpp, linalg/detail/gemm.hpp, linalg/detail/cublaslt_wrappers.hpp	NOT PORTABLE, AND IT IS THEIR ONLY GEMM	Every RAFT matrix product is legacy_gemm -> legacy_matmul -> cuBLASLt. There is no kernel in the RAPIDS tree to port: the arithmetic is inside a closed binary whose tile shape, k-split and (for CUBLAS_COMPUTE_32F_FAST_TF32) mantissa width are chosen per vendor and per shape. PORTING_RULES.md 0b-i covers exactly this case -- call the MAX equivalent, because there is nothing to port -- and that is what core/gemm.mojo does under FAST. It is ALSO the reason this lane exists: a closed library cannot carry an identity claim, and a k-split IS a summation order (IDENTITY_PATHS rows 24, 28)
raft linalg/detail/contractions.cuh::Contractions_NT	NOT PORTED HERE, and deliberately not	The loader and register-tile machinery the policy parameterizes. The ONE instantiation this repository needs already lives in cluster/ported/distance/fused_distance_nn/simt_kernel.mojo, FUSED, which is the instantiation RAFT's own dispatch runs. A standalone unfused port of it used to sit in core/gemm.mojo and was DELETED after measuring ~15 GFLOP/s against linalg.matmul's 248 at 1M x 128. Phase 2 may need a split-K structure this header does not have, in which case the charter's PyTorch fallback fires and gets recorded in PORTED_MAP.tsv
raft linalg/gemv.cuh, linalg/detail/gemv.hpp	not ported	cuBLAS gemv wrappers, same closed-library verdict. core/gemm.mojo::gemv_n calls MAX's gemv_gpu under FAST and pinned_gemv_n_kernel under IDENTICAL
raft linalg/contractions.cuh Policy4x4<double>, Policy4x4<half>, Policy4x4Skinny<double>, Policy2x8<double>, Policy2x8<half>	NOT PORTED	The non-float instantiations. Metal has no float64 on device (mojo_only/hardware_matrix.mojo) and FP16/BF16 are outside this profile (contract section 0.5). The templates are parameterized so adding one is a comptime alias, not a transcription
raft linalg/transpose.cuh	not ported	core/column_stats.mojo::transpose_kernel is the twenty-line device transpose the vendor Gram arm needs; linalg.transpose compiles and SIGNALS on device buffers (core/column_stats.mojo:355)
raft linalg/{add,subtract,multiply,divide,eltwise,unary_op,binary_op,ternary_op,map,init,power,sqrt}.cuh	not ported	element-wise primitives, not contractions. Out of this lane's scope entirely
raft linalg/{reduce,coalesced_reduction,strided_reduction,reduce_rows_by_key,reduce_cols_by_key,norm,normalize,map_reduce,map_then_reduce}.cuh	not ported HERE	reductions. Their identity treatment is IDENTITY_PATHS rows 8 and 20 and core/pinned_reduce.mojo, in other lanes' files
raft linalg/{eig,svd,qr,cholesky_r1_update,lstsq,rsvd,lanczos}.cuh	not ported HERE	factorizations. decomposition/ and glm/ own the ones this repository has
raft linalg/{axpy,dot,matrix_vector,matrix_vector_op,mean_squared_error}.cuh	not ported	BLAS-1 and BLAS-2 helpers with no caller in this tree
BATCHED GEMM (linalg.bmm.batched_matmul, and any upstream batched path)	DEFERRED WITH EVIDENCE, NOT SKIPPED	No production caller in this repository passes a batch dimension; the one appearance is mojo_only/vendor_correctness_check.mojo:1820, whose own header records it as NOT WIRED, and core/gram_splitk.mojo:28-33 rejects it for the Gram shape. What exists instead is HOST-SIDE TILE LOOPS (knn_brute_force.mojo query tiles, min_cluster_distance_compute.mojo centroid batches). Under contract sections 6 and 7 a batched GEMM CANNOT produce different bits from a loop of unbatched ones, because a cell's arithmetic depends on k and the profile alone and not on m, n or launch composition -- so batching is an EXECUTION PLAN feature, latency and not numerics. Deferring it costs nothing in the contract and adds nothing to it later
alpha, beta, bias, epilogues	EXCLUDED FROM THE PROFILE	Contract section 10. alpha is one more rounding at a position that has to be specified; beta makes the output a function of C's prior contents, a second input the profile has not specified; bias is beta with a broadcast; epilogues are where the fused kernels live and the charter forbids disturbing them. core/column_stats.mojo::scale_in_place_kernel already exists because MAX's matmul has no alpha argument, so this repository's callers are already served by a separate pass
FP16 / BF16 / TF32 inputs, integer and quantized dot products, float64	EXCLUDED FROM THE PROFILE	Contract section 0.5. FP16/BF16 with FP32 accumulation is a modest follow-on profile; quantized inference is a separate substantial project (formats, dequantization, scaling, integer dot-product semantics, each its own ledger) and the charter says so explicitly. float64 does not exist on Metal
