# upstream	status	why / where it would go
cuml cpp/src/metrics/pairwise_distance.cu (and pairwise_distance_*.cu)	NOT PORTED	a distance front-end over cuVS pairwise_distance; neighbors/ owns distances (core/expand_distances.mojo, neighbors/mojo_only/pinned_distance_tile.mojo). Not a metric of a model.
raft stats/detail/contingencyMatrix.cuh SORT_AND_GATOMICS arm (contingencyMatrixWSort, cub::DeviceRadixSort)	NOT PORTED	a locality arm for matrices larger than L2; writes the same integers as GLOBAL_ATOMICS, which stands in. getImplVersion's device queries (smem budget, L2 size) are replaced by the comptime CMAT_SMEM_MAX_DIM cap; scheduling only.
raft stats/detail/histogram.cuh: smemHistKernel, smemBitsHistKernel, smemHashHistKernel, __match_any_sync lane aggregation, VecLen > 1	NOT PORTED	throughput arms of the histogram; all land the same integers as gmemHistKernel, which is ported.
raft stats/detail/scores.cuh regression_metrics (mean_abs_error, mean_squared_error, median_abs_error)	NOT PORTED	cuML exposes it through regression_metrics.pyx; would need a radix sort for the median. Not in this lane's brief.
cuml r2_score_py(double*) / kl_divergence(double*) / silhouette_score(double*) overloads	REFUSED BY NAME (Python surface)	no Float64 on Apple's GPU (mojolearn-hardware-limits); float64 inputs must be cast to float32 by the caller and the README says so.
raft stats/detail/adjusted_rand_index.cuh int64_t label instantiation	NOT PORTED	cuML's Python passes int32 labels; the int64 overload is the same code at a wider type.
cuml silhouette_score.pyx metric != 'euclidean' ('cityblock', 'cosine', 'l1', 'l2', 'manhattan', 'sqeuclidean')	REFUSED BY NAME	Group C ports the dispatch cuML's default takes (euclidean -> L2SqrtUnexpanded); the other DistanceTypes are other distance kernels and are refused with the metric's name. 'l2' and 'euclidean' are the same DistanceType and both accepted.
cuml silhouette_score.pyx chunksize	HONORED (validated >= 1), scheduling only	ours materializes no distance tile, so there is nothing for chunk to size; the a/b accumulation is one fixed tree per (row, cluster) regardless; check_silhouette_refusals proves chunk 1 / 40000 / 7 give one byte pattern.
raft stats/detail/silhouette_score.cuh unbatched driver (pairwise_distance of the full matrix, reduce_cols_by_key, populateAKernel, DivOp matrixVectorOp, min reduce) and cuml silhouette_score.cu / silhouette_score_batched_double.cu	NOT PORTED	cuML's Python always dispatches the batched float/double entry (silhouette_score.pyx:_silhouette_coeff); the double arm cannot run on Apple. SilOp and countLabels from that file ARE ported (they are what the batched path calls).
cuvs distance pairwise_distance L2SqrtUnexpanded (the Contractions-tile unexpanded L2 kernel)	NOT PORTED	the silhouette's distance is computed one thread per cell in metrics/mojo_only/pinned_distance.mojo (DEVIATION 654) in BOTH modes; FAST is therefore not their kernel either (no timing is claimed). A faithful FAST port would go beside neighbors' distance kernels.
raft stats/detail/batched/silhouette_score.cuh stream pool (get_next_usable_stream per tile)	NOT PORTED	one queue on Metal (PORTING_RULES 4); scheduling.
