# their_thing	status	why / where it would go
scipy.stats.bootstrap method='BCa'	REFUSED BY NAME IN BOTH MODES, DEVIATION 1699	its two endpoints need ndtri, the INVERSE normal CDF, which checks/numerics.mojo does not have. SciPy's is a Cephes float64 rational approximation; a float32 re-derivation is a new numeric construction with an unmeasured error budget, and IDENTITY_PATHS' opening rule offers PIN, REPLACE and REFUSE and no fourth move. The bias percentile, the jackknife and the acceleration ARE built, identical and recorded. Closure: land portable_ndtri/identical_ndtri beside portable_erff, gate it the way check-division gates portable_divf, delete bca_refuse
scipy.stats.bootstrap batch=	NOT PORTED, AND NOT NEEDED	their batch is a memory knob whose value CHANGES THE ANSWER, because it changes how many sequential-stream draws precede a replicate. Here the answer is independent of it by construction (DEVIATION 1690), so there is nothing to expose. r_first is the memory knob that has no effect on the answer
scipy.stats.bootstrap vectorized=	NOT PORTED	statistics are comptime arms of a kernel, not callables, so there is nothing to vectorize. A caller-supplied reduction would put the summation order where nothing in this lane could pin it
scipy.stats.bootstrap bootstrap_result= (extending a run)	NOT PORTED; r_first REPLACES IT	their extension continues the Generator stream, so the prefix survives only if the extension is done that exact way. r_first names a POSITION and the prefix survives unconditionally (check_prefix_stability)
scipy.stats.bootstrap paired=False (independent per-sample resampling)	NOT PORTED	this lane resamples ROWS, which is paired=True. An unpaired two-sample bootstrap needs two independent maps and a second kind byte; it is one arm of bootstrap_host plus one RESAMPLE_KIND_* constant
scipy.stats.permutation_test permutation_type='samples'	NOT PORTED	the paired-sample null (flip each pair independently). A different map: one Bernoulli draw per pair rather than a rank over the pooled sample
scipy.stats.permutation_test permutation_type='pairings'	NOT PORTED	the null pearson needs, and the only one an order statistic or a correlation makes sense under. Refused by name in _launch_perm_stat_at
scipy.stats.permutation_test's exhaustive arm (_all_partitions_concatenated)	NOT PORTED	when n_resamples >= C(n_x+n_y, n_x) they enumerate every partition and DROP the +1 adjustment. This lane always samples and always adjusts, which is CONSERVATIVE (it can only make a p-value larger) and is stated in DEVIATION 1702 so a floor of 1/(R+1) is not read as a claim of exactness
permutation_test with an order statistic	REFUSED BY NAME	it would need a per-replicate sort of the PERMUTED group, and the bootstrap's sort path does not apply because the group membership changes every replicate. The ported arms are mean, std and diff_means
sklearn.utils.resample stratify=	NOT PORTED	a per-class map, i.e. a per-class index space and a per-class draw. One more kind byte and a class-offset table
sklearn.utils.resample sample_weight=	NOT PORTED	weighted sampling is an inverse-CDF lookup per draw. cuML's weighted RF bootstrap has the same shape and is declined there too (core/philox.mojo DEVIATION 187c); it needs a binary search per drawn index and, in their spelling, float64
sklearn.utils.resample replace=False (sliced permutation)	NOT PORTED	it is a permutation, so the rank construction of perm_stat_kernel already covers the mechanism; only the entry point is missing
float64 samples	NOT PORTED	no float64 on the device column this tree targets. reference_*_f64 in the oracle is HOST ONLY
a caller-supplied statistic callable	REFUSED BY DESIGN, NOT BY OMISSION	every fold in this lane is pinned at compile time. A pointer would move the summation order outside anything this lane can gate, which is the property being sold
a large quantile / trimmed_mean bootstrap (n_resamples * n above RESAMPLE_MAX_SORT_CELLS)	REFUSED BY NAME	the sort path materialises n_resamples x n floats plus four scratch buffers. The refusal names r_first (batch it; the answers are bit-identical, DEVIATION 1690b) as today's workaround and tiling the segments through the sort as the closure
a pooled permutation sample above PERM_MAX_POOLED = 1024	REFUSED BY NAME	the rank pass keys the pooled sample into threadgroup memory and ranks by COUNTING a total order, O(N^2) per replicate and 8*N bytes. Closure: a pinned segmented sort over the 64-bit composite key, the construction neighbors/checks/select_radix_identical.mojo already uses for its (distance, index) key
RAFT's uniformInt launch geometry (RNG_STRIDE = 110592)	DELIBERATELY NOT USED, DEVIATION 1692	it is a STREAM PARTITION and is exactly what the position map gives up. Consequence, stated so nobody looks for it: a resample/ bootstrap sample does not equal an ensemble/ Random Forest bootstrap sample from the same seed, and is not meant to
CatBoost's Bayesian / Bernoulli / Poisson bootstrap (gbdt/gpu_util/kernel/bootstrap.mojo)	A DIFFERENT THING ENTIRELY, NOT AN UNPORTED PIECE OF THIS ONE	theirs multiplies each training row's gradient and weight by a random draw so every tree sees a differently weighted copy of the SAME rows; this lane draws WHICH ROWS a replicate contains. Regularization versus inference. Listed here only because the word collides 133 times in this tree
