Verification coverage inventory — no algorithms executed
246 appendix entries; 256 registered lanes; backend cpu
186 available, 15 withheld, 55 excluded, 0 unavailable

Lane | status | batch check | reason
--- | --- | --- | ---
rf-clf | available | check | 
rf-reg | available | check | 
et-clf | available | check | 
et-reg | available | check | 
gbdt-symmetric | available | check | 
gbdt-depthwise | available | check | 
gbdt-lossguide | available | check | 
gbdt-rmse | available | check | 
gbdt-ordered | available | check | 
gbdt-ordered-bayesian-noise | available | check | 
gbdt-catboost-defaults | available | check | 
gbdt-bfa-quantile | available | check | 
gbdt-border-types | available | check | 
kmeans | available | check | 
knn | available | check | 
knn-clf | available | check | 
knn-reg | available | check | 
dbscan | available | check | 
pca | available | check | 
pca-whiten | available | check | 
tsvd | available | check | 
ols | available | check | 
ridge | available | check | 
logistic | available | check | 
lasso | available | check | 
elasticnet | available | check | 
svc | available | check | 
kde | available | check | 
agglomerative | available | check | 
spectral | available | check | 
holtwinters | available | check | 
gemm-pinned | available | check | 
metrics | available | not_applicable | n/a:scalar-reduction (accuracy_score, adjusted_rand_score, v_measure_score, r2_score and silhouette_score each return one float over every row, python/mojolearn/_metrics_impl.py; the per-sample silhouette_samples is asked on metrics-classification)
svr | available | check | 
arima | available | check | 
gp | available | check | 
gpc | available | check | 
gpc-multiclass | available | check | 
umap | available | check | 
radius | available | check | 
standard-scaler | available | check | 
minmax-scaler | available | check | 
gbdt-ordered-rmse | available | check | 
gbdt-feature-freq | available | check | 
mlp | available | check | 
byte-lm | available | check | 
byte-lm-host-infer | available | check | 
byte-lm-host-train | available | not_applicable | n/a:mean-reduction-fixed-batch (LanguageModelHostTrainer has train_step and loss only, and loss IS a step, python/mojolearn/_byte_lm_host.py:392-429; one loss and one update from mean cross-entropy over ids of the profile's fixed (batch, length + 1), so no output belongs to one sequence; the per-sequence logits are asked by byte-lm-host-infer; lane/batch-invariance-2's batchgrad records the same reason for this lane and its batchscale and ragged parts do not ask it)
language-model-config | withheld | not_applicable | no reference
mamba1 | available | check | 
mamba2 | available | check | 
mamba3 | withheld | check | owed artifact nvidia column. No committed column anywhere under bench/results/ carries mamba3 on an NVIDIA device at fixture revision 'norms-near-one-1'; the twenty that name it all predate the 2026-09-16 norm change (lane/dead-arms) and describe bytes this harness no longer produces. Unlike the other four neural holds there is no near miss to repair. Owed, on a current NVIDIA box: `MOJOLEARN_COMMIT=$(git rev-parse HEAD) python3 tools/identity_break.py --repeats 2 --lanes mamba3 --step-full --batch-grad --batch-scale --ragged --json identity_break.nvidia.json`, landed under bench/results/identity_break/
transformer | withheld | check | owed artifact nvidia stepfull. An admissible NVIDIA column at the current fixture revision exists (bench/results/attention_replay_vendors_2026-09-18/nvidia_identity/remote/attn-replay-extra/identity_break.after.nvidia-sm_90a.json, admit() None, nine fixtures, two repeats) but carries only train, infer, model, batch and rlpair. The DEFAULT part `stepfull` is absent, as are batchgrad, batchscale and ragged, and the file sits outside bench/results/identity_break/ so build_table never sees it. Owed: re-run those lanes on a current NVIDIA box with `--step-full --batch-grad --batch-scale --ragged` and land the column under bench/results/identity_break/
transformer-bf16w | available | check | 
transformer-int8w | available | check | 
mamba1-bf16w | available | check | 
mamba1-int8w | available | check | 
mamba2-bf16w | available | check | 
mamba2-int8w | available | check | 
mamba3-bf16w | available | check | 
mamba3-int8w | available | check | 
mlp-bf16w | available | not_applicable | n/a:weight-format lane; the batch part is measured on its base lane
mlp-int8w | available | not_applicable | n/a:weight-format lane; the batch part is measured on its base lane
samba-bf16w | available | not_applicable | n/a:weight-format lane; the batch part is measured on its base lane
samba-int8w | available | not_applicable | n/a:weight-format lane; the batch part is measured on its base lane
gemm-bf16 | available | not_applicable | n/a:profile lane; the products are hashed whole
gemm-int8 | available | not_applicable | n/a:profile lane; the products are hashed whole
saved-model-host-infer | withheld | check | one column
lowbit-conversions | withheld | check | unwatched
samba | withheld | check | owed artifact nvidia stepfull. Same column and same gap as `transformer`: the attention-replay NVIDIA column is admissible at revision 'steps-1-1' on nine fixtures but carries no `stepfull`, batchgrad, batchscale or ragged value, and is outside bench/results/identity_break/. Owed: the same NVIDIA re-run with `--step-full --batch-grad --batch-scale --ragged`, landed under bench/results/identity_break/
rf-clf-entropy-log2-noboot | available | check | 
rf-clf-balanced-parallel | available | check | 
rf-reg-poisson | available | check | 
rf-reg-gamma-ig | available | check | 
et-clf-entropy-bestfirst | available | check | 
et-reg-bootstrap-parallel | available | check | 
gbdt-multiclass | available | check | 
gbdt-onevsall | available | check | 
gbdt-parametric-losses | available | check | 
gbdt-lossguide-newtoncosine | available | check | 
gbdt-pointwise-l2-bayesian-eval | available | check | 
gbdt-exact-mae | available | check | 
gbdt-categorical-ctr | available | check | 
gbdt-categorical-ctr-tables | available | check | 
gbdt-tensor-ctr-tables | available | check | 
gbdt-nan-modes | available | check | 
gbdt-adapter-clf | available | check | 
gbdt-adapter-reg | available | check | 
gbdt-query-rmse | available | check | 
gbdt-pair-logit | available | check | 
gbdt-yeti-rank | available | check | 
gbdt-adapter-score-weighted | available | not_applicable | n/a:scalar-reduction (score(X, y, sample_weight) returns one float over every row it is handed, python/mojolearn/_gbdt_adapters.py and _forest_protocol.py; the predict and predict_proba it wraps keep their batch parts on gbdt-adapter-clf, gbdt-adapter-reg, rf-clf and rf-reg)
rf-score-weighted | available | not_applicable | n/a:scalar-reduction (score(X, y, sample_weight) returns one float over every row it is handed, python/mojolearn/_gbdt_adapters.py and _forest_protocol.py; the predict and predict_proba it wraps keep their batch parts on gbdt-adapter-clf, gbdt-adapter-reg, rf-clf and rf-reg)
mamba2-dtlimit | available | check | 
transformer-window | withheld | check | owed artifact nvidia stepfull. Same column and same gap as `transformer`: bench/results/attention_replay_vendors_2026-09-18/nvidia_identity/remote/attn-replay-extra/identity_break.after.nvidia-sm_90a.json is admissible at the current revision on nine fixtures but has no `stepfull`, batchgrad, batchscale or ragged value, and is outside the tree build_table walks. Owed: the same NVIDIA re-run with `--step-full --batch-grad --batch-scale --ragged`, landed under bench/results/identity_break/
byte-lm-resident | available | check | 
byte-lm-host-infer-threaded | available | check | 
samba-untied-dropout-accum | withheld | check | owed artifact nvidia stepfull. Same column and same gap as `transformer`, at revision 'steps-3-1'. This is the one lane whose PRE-revision NVIDIA records also agree, because lane/shrink-floors reversed its step cut, but an old column of coincidentally equal bytes is not a current witness. Owed: the same NVIDIA re-run with `--step-full --batch-grad --batch-scale --ragged`, landed under bench/results/identity_break/
optim-sgd | available | check | 
optim-adam-clip | available | check | 
cross-entropy-arms | available | check | 
kmeans-random | available | check | 
kmeans-array | available | check | 
kmeans-weighted | available | check | 
dbscan-brute-l1 | available | check | 
dbscan-weighted | available | check | 
kde-tophat-sqeuclidean | available | check | 
kde-epanechnikov-l1 | available | check | 
kde-exponential-chebyshev | available | check | 
kde-linear-cosine | available | check | 
kde-cosine-minkowski | available | check | 
kde-weighted | available | check | 
pca-full-whiten | available | check | 
ols-no-intercept | available | check | 
ols-weighted | available | check | 
ridge-no-intercept | available | check | 
logistic-l1 | available | check | 
logistic-multiclass | available | check | 
logistic-elasticnet | available | check | 
logistic-unpenalized-no-intercept | available | check | 
elasticnet-l2end-no-intercept | available | check | 
svc-linear | available | check | 
svc-poly | available | check | 
svr-linear | available | check | 
knn-sqeuclidean | available | check | 
knn-manhattan | available | check | 
