id,title,lanes,parts,candidate_cpu_status,native_control_fixture_gaps,nvidia_multi_gpu_inventory,amd_multi_gpu_inventory,pypi_0_8_5_new_verifier
appendix-001,byte-level BPE tokenizer training,bpe-trainer,train,available,bpe-trainer/train: 2/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-002,byte LM trainer,byte-lm,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-003,byte LM forward pass on its reference path (inference),byte-lm-host-infer,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-004,byte LM forward pass on its threaded path (inference),byte-lm-host-infer-threaded,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-005,published byte LM host training step,byte-lm-host-train,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-006,byte LM trainer on its resident session,byte-lm-resident,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-007,byte LM training over ordered gradient shards,par-byte-lm,train,parallel_excluded,par-byte-lm/train: 0/9,recorded,missing,absent
appendix-008,byte LM training with a pooled model,par-byte-lm-model-pool,train,parallel_excluded,par-byte-lm-model-pool/train: 0/9,recorded,missing,absent
appendix-009,byte LM training with parameter offload,par-byte-lm-offload,train,parallel_excluded,par-byte-lm-offload/train: 0/9,recorded,missing,absent
appendix-010,"byte-level BPE tokenizer (inference, host integers)",tokenizer,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-011,cross-entropy loss arms,cross-entropy-arms,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-012,Embedding layer,embedding,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-013,Embedding layer on its sorted execution plan,embedding-sort,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-014,Mamba-1 block,mamba1,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-015,Mamba-2 block,mamba2,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-016,Mamba-2 block with an active dt clamp,mamba2-dtlimit,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-017,Mamba-3 block,mamba3,train,withheld,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-018,small MLP,mlp,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-019,Adam and AdamW with the gradient clip and accumulation,optim-adam-clip,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-020,"SGD with momentum, Nesterov and dampening",optim-sgd,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-021,small MLP trained over ordered logical gradient shards,par-mlp,train,parallel_excluded,par-mlp/train: 2/9,recorded,missing,absent
appendix-022,Samba stack trained over ordered logical gradient shards,par-samba,train,parallel_excluded,,recorded,missing,absent
appendix-023,Samba stack trained over ordered logical gradient shards under a global norm clip,par-samba-clip,train,parallel_excluded,,recorded,missing,absent
appendix-024,Samba stack,samba,train,withheld,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-025,"Samba stack with untied embeddings, dropout, accumulation, clipping and a cosine schedule",samba-untied-dropout-accum,train,withheld,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-026,"embedding, RMSNorm and linear training primitives",training-primitives,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-027,Transformer block,transformer,train,withheld,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-028,sliding-window Transformer block,transformer-window,train,withheld,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-029,MLP inference,mlp,"infer,model,batch",available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-030,Transformer block inference,transformer,"infer,model,batch",withheld,transformer/model: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-031,Mamba-1 block inference,mamba1,"infer,model,batch",available,mamba1/infer: 8/9; mamba1/model: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-032,Mamba-2 block inference,mamba2,"infer,model,batch",available,mamba2/model: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-033,Mamba-3 block inference,mamba3,"infer,model,batch",withheld,mamba3/model: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-034,Samba inference,samba,"infer,model,batch",withheld,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-035,Mamba-1 stateful decode,mamba1,stepfull,available,mamba1/stepfull: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-036,Mamba-2 stateful decode,mamba2,stepfull,available,mamba2/stepfull: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-037,Mamba-3 stateful decode,mamba3,stepfull,withheld,mamba3/stepfull: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-038,transformer stateful decode,transformer,stepfull,withheld,transformer/stepfull: 0/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-039,cross-validation of gradient boosting,cross-val,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-040,cross-validation fold assignment,cross-val-folds,train,available,cross-val-folds/train: 2/9,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-041,gradient boosting classifier,gbdt-adapter-clf,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-042,gradient boosting regressor,gbdt-adapter-reg,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-043,weighted scores of the gradient boosting classifier and regressor,gbdt-adapter-score-weighted,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-044,gradient boosting with one-hot categorical columns,gbdt-categorical-ctr,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
appendix-045,predictions of Metal-saved gradient boosting models with CTR tables (inference),gbdt-categorical-ctr-tables,train,available,,not_a_parallel_entry,not_a_parallel_entry,absent
