# their_thing	status	why / where it would go
cuML's Gaussian mixture model	DOES NOT EXIST	upstream/cuml-v26.08.00 at 265b9da has no gmm directory, no mixture module and no GaussianMixture symbol; the only case-insensitive hit in the tree is an xfail entry marking two scikit-learn GMM tests flaky under cuml.accel, which is a record that cuML does not accelerate the estimator. cuVS (6ba2ce2) and RAFT (ebf9268) have none either. There is nothing to port, so PORTING_RULES.md 0b does not apply and no file in this lane cites an upstream line range as a transliteration
sklearn covariance_type='tied' (_gaussian_mixture.py:200-227, :375-382, :479-481, :535-541)	REFUSED BY NAME	ONE d x d covariance shared across every component: one Cholesky per iteration instead of n_components, and a different M-step accumulation. It is a smaller lane, not a subset of this one, and its identity argument differs -- the collapse decision (DEVIATION 1723) becomes GLOBAL, so a single ill-conditioned component fails the whole fit. covariance_type_from_name raises with that reason
sklearn covariance_type='diag' (_gaussian_mixture.py:229-252, :383-385, :483-484, :537-543)	REFUSED BY NAME	n_components x d variances, no Cholesky anywhere (precisions = precisions_chol ** 2). d FLOPs per point per component instead of d^2, so it is BANDWIDTH bound where this lane is compute bound and ROADMAP.md's argument for opening the lane does not apply to it
sklearn covariance_type='spherical' (_gaussian_mixture.py:255-279, :486, :545-551)	REFUSED BY NAME	one variance per component, which is k-means with a soft assignment and a variance. cluster/ already ships the hard-assignment half, identity certified
sklearn init_params='k-means++' (_base.py:148-155)	REFUSED BY NAME	they one-hot the INDICES sklearn.cluster.kmeans_plusplus chose, so it needs that seeding routine's own draw sequence reproducible on three vendors. cluster/checks/plus_plus.mojo is cuVS's k-means++ and its draw order is cuVS's, not scikit-learn's, so wiring it here would give a DIFFERENT initialization under a scikit-learn parameter name -- which the README's semantics table forbids
sklearn init_params='random_from_data' (_base.py:140-147)	REFUSED BY NAME	n_components row indices drawn WITHOUT REPLACEMENT, which is a rejection loop whose consumed-draw count depends on the data. That is a reproducibility question of its own and this lane has not answered it. init_params='random' (DEVIATION 1733) is the position-mapped alternative
sklearn init_params='random' (_base.py:128-134), THEIR DRAW SEQUENCE	MEANING-COMPATIBLE, BIT-DIFFERENT, DEVIATION 1733	theirs is n x K uniforms from a numpy RandomState STREAM. A stream is an ORDER and an order is the one thing three vendors cannot be made to agree on for free, so each cell's draw here is a pure function of ITS OWN POSITION (philox4x32_10 with the counter from (i, k) and the key from random_state, word 0, mapped by an exact 2^-24). Same MEANING (a normalized uniform row), different NUMBERS
sklearn n_init > 1 (_base.py:241-290)	REFUSED BY ABSENCE, DEVIATION 1734	there is no n_init field on GmmParams to set. n_init > 1 picks the best restart by a FLOAT COMPARISON of lower bounds (:282), which is a second data-dependent branch on top of the convergence test and needs its own identity argument and its own tie rule. scikit-learn's default is 1, so the shipped behavior matches the shipped default
sklearn warm_start (_base.py:241, :257)	REFUSED BY ABSENCE, DEVIATION 1734	makes a fit depend on the object's history rather than on its inputs. scikit-learn's default is False
sklearn means_init / weights_init / precisions_init (_gaussian_mixture.py:857-881, :394-443)	REFUSED BY ABSENCE, DEVIATION 1734	precisions_init additionally reaches _compute_precision_cholesky_from_precisions, whose flipudlr construction is a second route to the precision Cholesky and therefore a second thing to pin. None of the three has a field here
sklearn GaussianMixture.sample(n_samples) (_base.py:434-511)	NOT PORTED	needs a multivariate normal draw per component and a multinomial over the weights, both from a host RNG stream. No portable RNG contract for either here. The Python surface should raise NotImplementedError by name
sklearn's ConvergenceWarning (_base.py:292-301)	REPLACED BY A FIELD AND A PRINTED LINE, DEVIATION 1746	Mojo has no warning channel. GaussianMixtureModel.converged carries it and mixture/mixture_main.mojo prints it. Never a raise: their fit returns a usable model in that case and so does ours
sklearn's float64 default (validate_data with dtype=[float64, float32])	NOT PORTED, DEVIATION 1724	no float64 on the Apple device column. The host surface takes float32; the Float64 host reference in checks/gmm_oracle.mojo measures what that costs. scikit-learn's own error message for a failed Cholesky says "The numerical accuracy can also be improved by passing float64 data instead of float32", which is the same observation from the other side
sklearn's array-API / MPS path (__sklearn_tags__:1000-1005, array_api_support under init_params in {random, random_from_data})	NOT RELEVANT HERE, RECORDED	it is why ROADMAP.md demoted this lane in August 2026 and then un-demoted it: scikit-learn's Array API path on MPS measured 1.22x SLOWER than the same call on torch CPU (bench/results/SKLEARN_GPU_BASELINE_2026-08-20.md). Recorded so the demotion argument is not re-derived from the same fact
_compute_precision_cholesky_from_precisions and _flipudlr (_gaussian_mixture.py:388-443)	NOT PORTED	only reachable from precisions_init, which has no field here
BayesianGaussianMixture (_bayesian_mixture.py)	NOT PORTED, NOT THIS LANE	a different estimator with a different lower bound, Dirichlet or Dirichlet-process weight priors, and digamma / gammaln on the device. It shares _base.py's loop and therefore this lane's hazard 1 exactly, so whoever opens it should read mixture/README.md's hazards first
a BLOCKED or BATCHED per-component Cholesky	NOT WRITTEN	gmm_precision_cholesky factors n_components matrices of d x d ONE AT A TIME, with two host drains per component per iteration (potrf_lower reads info back per panel, chol_logdet reads its scalar back). A batched factorization would collapse that to two drains per iteration. It is a speed idea, the batched factorization has never been measured against the present one, and mixture/README.md carries it under WHAT IS OWED
a tag_prefix argument on cholesky/checks/potrf.mojo::potrf_lower and ::chol_logdet	NOT MADE -- ANOTHER LANE'S FILE	those two hardcode the tags chol.panelNNN.*, chol.factor, chol.nb, chol.diag and chol.logdet, so calling them n_components times per iteration would violate IdentityTrace's tag-uniqueness invariant and raise on the second component. This lane therefore calls them with a DISABLED trace and records their OUTPUTS under its own tags. A tag_prefix argument would let a caller nest their stages inside a per-component card. It is named in mixture/README.md's WHAT THE ORCHESTRATOR MUST WIRE and was NOT made here
