# cpu_only=True
class	loss	grow_policy	bootstrap_type	status	detail
GradientBoostingRegressor	RMSE	SymmetricTree	default	OK	
GradientBoostingRegressor	RMSE	SymmetricTree	Bayesian	OK	
GradientBoostingRegressor	RMSE	SymmetricTree	Bernoulli	OK	
GradientBoostingRegressor	RMSE	SymmetricTree	No	OK	
GradientBoostingRegressor	RMSE	Depthwise	default	OK	
GradientBoostingRegressor	RMSE	Depthwise	Bayesian	OK	
GradientBoostingRegressor	RMSE	Depthwise	Bernoulli	OK	
GradientBoostingRegressor	RMSE	Depthwise	No	OK	
GradientBoostingRegressor	RMSE	Lossguide	default	OK	
GradientBoostingRegressor	RMSE	Lossguide	Bayesian	OK	
GradientBoostingRegressor	RMSE	Lossguide	Bernoulli	OK	
GradientBoostingRegressor	RMSE	Lossguide	No	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	default	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	Bayesian	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	Bernoulli	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	No	OK	
GradientBoostingClassifier	Logloss	Depthwise	default	OK	
GradientBoostingClassifier	Logloss	Depthwise	Bayesian	OK	
GradientBoostingClassifier	Logloss	Depthwise	Bernoulli	OK	
GradientBoostingClassifier	Logloss	Depthwise	No	OK	
GradientBoostingClassifier	Logloss	Lossguide	default	OK	
GradientBoostingClassifier	Logloss	Lossguide	Bayesian	OK	
GradientBoostingClassifier	Logloss	Lossguide	Bernoulli	OK	
GradientBoostingClassifier	Logloss	Lossguide	No	OK	
GradientBoosting	MultiClass	SymmetricTree	default	OK	
GradientBoosting	MultiClassOneVsAll	SymmetricTree	default	OK	
GradientBoosting	RMSE	SymmetricTree	default	OK	
GradientBoosting	Logloss	SymmetricTree	default	OK	
GradientBoosting	CrossEntropy	SymmetricTree	default	OK	
GradientBoosting	Quantile	SymmetricTree	default	OK	
GradientBoosting	MAE	SymmetricTree	default	OK	
GradientBoosting	LogLinQuantile	SymmetricTree	default	OK	
GradientBoosting	MAPE	SymmetricTree	default	OK	
GradientBoosting	Poisson	SymmetricTree	default	OK	
GradientBoosting	Lq	SymmetricTree	default	OK	
GradientBoosting	Expectile	SymmetricTree	default	OK	
GradientBoosting	Tweedie	SymmetricTree	default	OK	
GradientBoosting	Huber	SymmetricTree	default	OK	
GradientBoosting	QueryRMSE	SymmetricTree	default	OK	
GradientBoosting	PairLogit	SymmetricTree	default	OK	
GradientBoosting	YetiRank	SymmetricTree	default	OK	
