# cpu_only=True
class	loss	grow_policy	bootstrap_type	status	detail
GradientBoostingRegressor	RMSE	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='RMSE'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multicla
GradientBoostingRegressor	RMSE	SymmetricTree	Bayesian	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='RMSE'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multicla
GradientBoostingRegressor	RMSE	SymmetricTree	Bernoulli	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bernoulli' under loss='RMSE'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multicl
GradientBoostingRegressor	RMSE	SymmetricTree	No	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for random_strength=1.0 outside Lossguide with Logloss and SymmetricTree with Logloss; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the
GradientBoostingRegressor	RMSE	Depthwise	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 1 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Depthwise	Bayesian	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 1 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Depthwise	Bernoulli	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 1 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Depthwise	No	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 1 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Lossguide	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 2 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Lossguide	Bayesian	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 2 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Lossguide	Bernoulli	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 2 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingRegressor	RMSE	Lossguide	No	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for loss='RMSE' under grow_policy code 2 (Depthwise or Lossguide); the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, poin
GradientBoostingClassifier	Logloss	SymmetricTree	default	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	Bayesian	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	Bernoulli	OK	
GradientBoostingClassifier	Logloss	SymmetricTree	No	OK	
GradientBoostingClassifier	Logloss	Depthwise	default	OK	
GradientBoostingClassifier	Logloss	Depthwise	Bayesian	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Logloss'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multi
GradientBoostingClassifier	Logloss	Depthwise	Bernoulli	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bernoulli' under loss='Logloss'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and mult
GradientBoostingClassifier	Logloss	Depthwise	No	OK	
GradientBoostingClassifier	Logloss	Lossguide	default	OK	
GradientBoostingClassifier	Logloss	Lossguide	Bayesian	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Logloss'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multi
GradientBoostingClassifier	Logloss	Lossguide	Bernoulli	OK	
GradientBoostingClassifier	Logloss	Lossguide	No	OK	
GradientBoosting	MultiClass	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='MultiClass'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and mu
GradientBoosting	MultiClassOneVsAll	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='MultiClassOneVsAll'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwis
GradientBoosting	RMSE	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='RMSE'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multicla
GradientBoosting	Logloss	SymmetricTree	default	OK	
GradientBoosting	CrossEntropy	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='CrossEntropy'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and 
GradientBoosting	Quantile	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Quantile'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and mult
GradientBoosting	MAE	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='MAE'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multiclas
GradientBoosting	LogLinQuantile	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='LogLinQuantile'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise an
GradientBoosting	MAPE	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='MAPE'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multicla
GradientBoosting	Poisson	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Poisson'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multi
GradientBoosting	Lq	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Lq'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multiclass
GradientBoosting	Expectile	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Expectile'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and mul
GradientBoosting	Tweedie	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Tweedie'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multi
GradientBoosting	Huber	SymmetricTree	default	REFUSED	Exception: no CPU implementation of _mojolearn_gbdt.gbdt_fit for bootstrap_type='Bayesian' under loss='Huber'; the gbdt host binding trains the declared GBDT lanes only (SymmetricTree with Cosine and the Logloss, RMSE, pointwise and multicl
GradientBoosting	QueryRMSE	SymmetricTree	default	REFUSED	NotImplementedError: mojolearn: CatBoost's GPU default for loss='QueryRMSE' is a Bayesian bootstrap over whole queries (bootstrap_options.h:18), which this implementation does not restate; the default is refused by name rather than replaced
GradientBoosting	PairLogit	SymmetricTree	default	REFUSED	NotImplementedError: mojolearn: CatBoost's GPU default for loss='PairLogit' is a Bayesian bootstrap over whole queries (bootstrap_options.h:18), which this implementation does not restate; the default is refused by name rather than replaced
GradientBoosting	YetiRank	SymmetricTree	default	REFUSED	NotImplementedError: mojolearn: CatBoost's GPU default for loss='YetiRank' is a Bayesian bootstrap over whole queries (bootstrap_options.h:18), which this implementation does not restate; the default is refused by name rather than replaced 
