# our_file	upstream_file	status	notes
# cuML pinned at 7e29955c (OLS) / 00094f7 (ridge, qn), RAFT at 9aa17e5 (lstsq) / 661a3b8 (svd, matrix).
ported/linalg/detail/lstsq.mojo	raft cpp/include/raft/linalg/detail/lstsq.cuh	partial	lstsqEig only, which is cuML olsFit algo=1. Their two-stream overlap is not ported
ported/glm/ols.mojo	cuml cpp/src/glm/ols.cuh	partial	olsFit's guards and solver dispatch only. fit_intercept/normalize/sample_weight refused by name. DEVIATION 527 added ols_fit_traced, the same dispatch carrying a stage card
mojo_only/ols_trace.mojo	none	mojo-only	DEVIATION 527. The OLS identity certificate: 11 named stages per fit, hashed as raw bytes through core/identity_trace.mojo. No upstream equivalent -- cuML ships one GPU backend and needs none
ported/glm/ridge.mojo	cuml cpp/src/glm/ridge.cuh	partial	DEVIATION 545. ridgeSolve, ridgeEig, ridgeFit with their guards and dispatch; algo 0 (ridgeSVD), fit_intercept/normalize (host-centered in Python instead), sample_weight, n_alpha > 1 refused by name
ported/linalg/detail/svd.mojo	raft cpp/include/raft/linalg/detail/svd.cuh	partial	svdEig only (ridgeEig's first call); the col_reverse/row_reverse is a host index sort applied by gather_columns_kernel because Jacobi does not order
ported/matrix/math.mojo	raft cpp/include/raft/matrix/detail/math.cuh (+ linalg/detail/add.cuh addScalar)	partial	setSmallValuesZero, power, seqRoot, matrixVectorBinaryDivSkipZero (both return_zero arms), matrixVectorBinaryMult, and the gather standing in for col_reverse/row_reverse; one thread per cell
ported/linear_model/qn.mojo	cuml cpp/include/cuml/linear_model/qn.h	transliterated	qn_params and qn_loss_type with their defaults
ported/glm/qn/qn.mojo	cuml cpp/src/glm/qn/qn.cuh	partial	qn_fit, qn_fit_x (QN_LOSS_LOGISTIC; every other loss and sample_weight refused by name), qn_decision_function; sparse entries not ported
ported/glm/qn/glm_base.mojo	cuml cpp/src/glm/qn/glm_base.cuh	partial	linearFwd, linearBwd, GLMDims, getLossAndDZ (unweighted arm), loss_grad, GLMWithData; C = 1 only. DEVIATION 547: mapThenSumReduce's float-atomic fold replaced by one pinned block
ported/glm/qn/glm_logistic.mojo	cuml cpp/src/glm/qn/glm_logistic.cuh	transliterated	Lz, Dlz, gradNorm = nrmMax; exp/log through identical_exp/identical_log (row 12)
ported/glm/qn/glm_regularizer.mojo	cuml cpp/src/glm/qn/glm_regularizer.cuh	transliterated	Tikhonov (bias not penalized), RegularizedGLM's loss_grad composition (in glm_base.mojo's evaluate)
ported/glm/qn/qn_solvers.mojo	cuml cpp/src/glm/qn/qn_solvers.cuh	partial	min_lbfgs, update_and_check, qn_minimize; min_owlqn/update_pseudo NOT ported, l1 != 0 raises by name. DEVIATION 548: per-iteration card stages
ported/glm/qn/qn_linesearch.mojo	cuml cpp/src/glm/qn/qn_linesearch.cuh	partial	ls_success (all three arms), ls_backtrack; ls_backtrack_projected NOT ported. The host fx_init + step*dg_test is an fma under IDENTICAL
ported/glm/qn/qn_util.mojo	cuml cpp/src/glm/qn/qn_util.cuh	partial	LBFGSParam (both constructors, check_param), enums, check_convergence, lbfgs_search_dir; the OWL-QN operators NOT ported
ported/glm/qn/simple_mat/dense.mojo	cuml cpp/src/glm/qn/simple_mat/dense.hpp	partial	ax, axpy (in-place variants because Mojo refuses aliased launch args), dot, squaredNorm, nrmMax, nrm2, copy; one pinned block per reduction (DEVIATION 547); sparse.hpp not ported
mojo_only/ridge_check.mojo	none	mojo-only	DEVIATION 545's gates; four sabotages recorded in its header
mojo_only/logistic_check.mojo	none	mojo-only	DEVIATIONS 546-549's gates; three sabotages recorded in its header
