raft linalg/detail/lstsq.cuh::lstsqSvdJacobi	NOT PORTED, AND IT IS THEIR DEFAULT	cuML olsFit defaults to algo=0, one-sided Jacobi SVD. Normal equations SQUARE the condition number, so lstsqEig loses about twice the digits on an ill-conditioned design. sklearn's LinearRegression uses LAPACK gelsd, also an SVD route, so this difference belongs in any accuracy comparison
raft linalg/detail/lstsq.cuh::lstsqQR, lstsqSvdQR	not ported	the other two solver arms
cuml glm/ridge.cuh::ridgeSVD (algo 0) and raft linalg/detail/svd.cuh::svdQR	NOT PORTED; ridgeEig (algo 1, cuML's Python 'eig'/'auto') IS (DEVIATION 545)	The sentence that stood here -- "ridge is lstsqEig with alpha added to the eigenvalues before inverting. Cheap once wanted" -- was WRONG about their design: ridgeEig is svdEig (an SVD via the Gram's eigendecomposition, U = A V / S) followed by ridgeSolve's six RAFT ops with two ABSOLUTE thresholds on a singular value; see glm/impl/glm/ridge.mojo. ridgeSVD needs cuSOLVER gesvd (svdQR), no equivalent; n_cols == 1 forces it (ridge.cuh:210) and is refused by name. ridgeSolve's thres=1e-10 and svdEig's 1e-10 are absolute, the OLS_NONZERO_THRESH deviation again, carried and gated (ridge.solve.nnz is the card's integer stage)
cuml glm/preprocess.cuh	PORTED 2026-08-23 as glm/impl/glm/preprocess.mojo (unweighted arms, by the cd lane; moved here from solver/), but ols_fit does NOT call it; the DEVICE preprocess is unreached. NOT a user-facing gap: fit_intercept=True is honored, by centering X and y on the HOST in float64 and forming the intercept with math.fsum (DEVIATION 517, python/mojolearn/linear_model.py:46-56). MEASURED 2026-09-01: a planted model with intercept 7.25 comes back coef [1.5 -2.0 0.5 3.0] intercept 7.25000 exactly. What is owed is moving that centering onto the device, not the feature	LinearRegression(fit_intercept=True) is cuML's PYTHON DEFAULT (linear_regression.pyx:309), so their default fit is preProcessData -> lstsqEig -> postProcessData, not lstsqEig alone. preProcessData centers X by column means and y by its mean (preprocess.cuh:98,100,115,117); postProcessData sets intercept = mean(y) - mu_X . coef and UNDOES both centerings in place (preprocess.cuh:148-176). ols_fit refuses fit_intercept and defaults it False, i.e. it mirrors the fit_intercept=False branch, which on their side also sets *intercept = 0 (ols.cuh:156). core/column_stats.mojo already has the kernels. normalize is only reachable with fit_intercept and is the meanvar/colNorm arm at preprocess.cuh:76-108
cuml glm/qn/glm_softmax.cuh::logSoftmaxKernel getDerivative=false arm; qn.cuh::qn_predict (binary threshold and multinomial argmax)	NOT PORTED	the softmax LOSS is ported (2026-08-23, DEVIATIONS 705-706, glm/impl/glm/qn/glm_softmax.mojo; the C > 2 arm of qn_fit_x runs); the probability-only kernel arm and qn_predict are not, and python/mojolearn/linear_model.py still refuses > 2 classes at the Python door (extending that surface is a separate change with a bindings rebuild)
cuml glm/qn/qn_solvers.cuh::min_owlqn, update_pseudo; qn_linesearch.cuh::ls_backtrack_projected; qn_util.cuh::get_pseudo_grad, project_orth	NOT PORTED	penalty='l1' and 'elasticnet' select OWL-QN (qn_solvers.cuh:446); refused by name at linear_model.py and at qn_solvers.mojo::qn_minimize (l1 != 0). Would go beside min_lbfgs in qn_solvers.mojo with the projected line search in qn_linesearch.mojo
cuml glm/qn/glm_base.cuh::add_sample_weights and the weighted arm of getLossAndDZ	NOT PORTED	sample_weight (and class_weight, which becomes one upstream) refused by name; would go in glm_base.mojo::GLMWithData (a weights buffer, weights_sum, the lz * weight * normalization map)
cuml glm/qn/glm_linear.cuh, glm_svm.cuh	PORTED 2026-08-23 (DEVIATIONS 707-708, 714)	all six one-target losses run through qn_fit_x with their C asserts and svr_eps; DEVIATION 714 fixes SVCL2Loss::Dlz's missing factor 2; no Python surface exposes them yet
cuml glm/qn/ qnFitSparse, qnDecisionFunctionSparse, qnPredictSparse; simple_mat/sparse.hpp	NOT PORTED	dense row-major only
cuml glm/qn/ mapThenSumReduce's float-atomic fold	REPLACED, DEVIATION 547	their dot/nrm2/loss/regularizer sums atomicAdd block partials (raft map_then_reduce.cuh:33-38) and are not reproducible on one GPU; ours are one pinned block each (glm/impl/glm/qn/simple_mat/dense.mojo). The logistic iteration count is therefore part of the certificate (qn.n_iter)
raft linalg/detail/lstsq.cuh DivideByNonZero threshold	PORTED WITH AN ABSOLUTE THRESHOLD, RECORDED AS A DEVIATION	`OLS_NONZERO_THRESH` is 1.0e-10 and is compared against an eigenvalue of A^T A, a quantity that scales with the SQUARE of the data and with n_rows. MEASURED (check_ols_rank_guard_is_absolute): the same 4096x8 design has rank 8 at scale 1 and rank 0 at scale 2^-24, i.e. the same design in different units returns the zero model. Same defect class as jacobi_eigh_device.mojo DEVIATION BLOCK 1, which was fixed by making the test relative. NOT fixed here because glm/ported is COPY-DO-NOT-IMPROVE and the change moves shipped NUMERIC_FAST bits near the boundary. Identity consequence: the comparison's output is a RANK, so at the boundary a per-vendor last bit changes how many directions the model has, not its fifth decimal
