pixi_get	0	2
pixi_install	0	5
build_base	0	63
build_gbdt_baseline	0	101
build_g2661	0	93
use_base2661	0	0
identity_base2661	0	13
use_g2661	0	0
identity_g2661	0	12
identity_diff	0	0
use_subbyte_base2661	0	0
subbyte_base2661	0	3
use_subbyte_g2661	0	0
subbyte_g2661	0	3
speed.base2661.gbdt-depthwise.taxi.r1000000.ours.o1	0	21
speed.g2661.gbdt-depthwise.taxi.r1000000.ours.o1	0	7
speed.base2661.gbdt-depthwise.istella.r1000000.ours.o1	0	41
speed.g2661.gbdt-depthwise.istella.r1000000.ours.o1	0	43
speed.base2661.gbdt-lossguide.taxi.r1000000.ours.o1	0	10
speed.g2661.gbdt-lossguide.taxi.r1000000.ours.o1	0	23
speed.base2661.gbdt-lossguide.istella.r1000000.ours.o1	0	44
speed.g2661.gbdt-lossguide.istella.r1000000.ours.o1	0	33
speed.g2661.gbdt-depthwise.taxi.r1000000.ours.o2	0	8
speed.base2661.gbdt-depthwise.taxi.r1000000.ours.o2	0	7
speed.g2661.gbdt-depthwise.istella.r1000000.ours.o2	0	17
speed.base2661.gbdt-depthwise.istella.r1000000.ours.o2	0	16
speed.g2661.gbdt-lossguide.taxi.r1000000.ours.o2	0	35
speed.base2661.gbdt-lossguide.taxi.r1000000.ours.o2	0	10
speed.g2661.gbdt-lossguide.istella.r1000000.ours.o2	0	35
speed.base2661.gbdt-lossguide.istella.r1000000.ours.o2	0	45
speed.base2661.gbdt-depthwise.taxi.r1000000.ours.o3	0	34
speed.g2661.gbdt-depthwise.taxi.r1000000.ours.o3	0	14
speed.base2661.gbdt-depthwise.istella.r1000000.ours.o3	0	34
speed.g2661.gbdt-depthwise.istella.r1000000.ours.o3	0	21
speed.base2661.gbdt-lossguide.taxi.r1000000.ours.o3	0	12
speed.g2661.gbdt-lossguide.taxi.r1000000.ours.o3	0	12
speed.base2661.gbdt-lossguide.istella.r1000000.ours.o3	0	25
speed.g2661.gbdt-lossguide.istella.r1000000.ours.o3	0	26
speed.g2661.gbdt-depthwise.taxi.r1000000.ours.o4	0	9
speed.base2661.gbdt-depthwise.taxi.r1000000.ours.o4	0	8
speed.g2661.gbdt-depthwise.istella.r1000000.ours.o4	0	16
speed.base2661.gbdt-depthwise.istella.r1000000.ours.o4	0	21
speed.g2661.gbdt-lossguide.taxi.r1000000.ours.o4	0	12
speed.base2661.gbdt-lossguide.taxi.r1000000.ours.o4	0	12
speed.g2661.gbdt-lossguide.istella.r1000000.ours.o4	0	24
speed.base2661.gbdt-lossguide.istella.r1000000.ours.o4	0	25
speed.base2661.gbdt-depthwise.taxi.r1000000.ours.o5	0	6
speed.g2661.gbdt-depthwise.taxi.r1000000.ours.o5	0	7
speed.base2661.gbdt-depthwise.istella.r1000000.ours.o5	0	21
speed.g2661.gbdt-depthwise.istella.r1000000.ours.o5	0	16
speed.base2661.gbdt-lossguide.taxi.r1000000.ours.o5	0	10
speed.g2661.gbdt-lossguide.taxi.r1000000.ours.o5	0	12
speed.base2661.gbdt-lossguide.istella.r1000000.ours.o5	0	25
speed.g2661.gbdt-lossguide.istella.r1000000.ours.o5	0	24
verdict.gbdt-depthwise	1	0
verdict.gbdt-lossguide	0	0
complete	2026-09-21T13:32:15Z
