# what of theirs	status	why, and where it would go
cd.cuh cdFit parameter shuffle = true (cuML Python selection='random')	REFUSED BY NAME in both modes	cd.cuh:164-166 constructs std::mt19937 g(rand()) and then initShuffle reseeds it with random_state = 0; each epoch calls std::shuffle(ri, g). The C++ standard does not specify std::shuffle's algorithm (libstdc++'s __gen_two_uniform_ints packs two draws per swap when the range allows; libc++ draws one per swap), so the permutation is a function of the toolchain, not of the seed alone, and cannot be gated bitwise or certified across vendors. An exact port = mt19937 (fully specified) + libstdc++'s std::shuffle transcribed and NAMED as the algorithm, gated by a permutation-is-a-pure-function-of-the-seed check = DEVIATION 611, reserved and not spent. Would go in solver/impl/solver/shuffle.mojo beside init_shuffle
cd.cuh cdFit parameter sample_weight	REFUSED BY NAME	cd.cuh:136-141 (sum and normalize the weights), :143-163 (weightedMean arms of preProcessData, sqrt(w) scaling of input and labels), :240-251 (binary_div_skip_zero undo, powerScalar, multiplyScalar). Would go in cd.mojo around the same lines with a weights buffer; preprocess.mojo would take the weightedMean arms
cd.cuh cdFit / cdPredict parameter loss != SQRD_LOSS	REFUSED BY NAME (theirs asserts too, cd.cuh:130, :303)	HINGE and LOG are the SGD solver's losses
cd.cuh cdFit parameters n_cols <= 0, n_rows <= 1	REFUSED (theirs asserts, cd.cuh:128-129)	
cuml python elastic_net.py: alpha < 0, l1_ratio outside [0, 1]	REFUSED BY NAME (their Python layer raises, :199-206)	carried into cd_fit so the Mojo entry is as strict as their estimator
cd.cuh cdFit: alpha non-finite, l1_ratio NaN, tol NaN	REFUSED BY NAME (DEVIATION 613; theirs lets every NaN through, `alpha < 0` being false for it)	their guards' intent is "a nonnegative number"; a NaN alpha/l1_ratio makes l1_alpha/l2_alpha NaN and every coefficient 0, alpha = +inf at l1_ratio 1 makes l2_alpha = 0 * inf, a NaN tol never stops. Refused so no PARAMETER can put a NaN on the card (data still can: DEVIATION 612 canonicalizes it at the record)
cuml python elastic_net.py: solver='qn'	NOT PORTED HERE	their ElasticNet/Lasso dispatch solver='auto' to 'qn' for SPARSE input and to 'cd' for dense; 'qn' for the l1/elasticnet penalty is OWL-QN, which glm/NOT_IMPLEMENTED.tsv lists as not ported (min_owlqn). Hand-off: refuse solver='qn' by name in the estimator
cuml python elastic_net.py _params_from_cpu: positive=True, warm_start=True, precompute	not supported by cuML either (UnsupportedOnGPU)	refuse by name in the estimator (hand-off)
cd.cuh cdUpdateCoefKernel's guard squared > math_t(1e-5)	PORTED AS THEIRS, RECORDED	an ABSOLUTE threshold on a sum of squares (+ l2_alpha) that scales with n_rows and the square of the data: a column of tiny-unit data is zeroed wherever its norm falls under 1e-5, the same design in larger units is not. The OLS_NONZERO_THRESH class (glm/NOT_IMPLEMENTED.tsv, glm/README.md). COPY-DO-NOT-IMPROVE; the card records cd.squared so a zeroed column is visible. scikit-learn skips only norm_cols_X[j] == 0.0
raft coalescedReduction: Thin kernel (ReductionThinPolicy, logical warps of the hardware width), Thick kernel (two launches), and the dispatch on getMultiProcessorCount (-inl.cuh:497-506)	NOT PORTED; Medium used at every shape under FAST; nothing under IDENTICAL	the dispatch makes the fold shape a DEVICE property (SM count) and the Thin kernel's fold a LANE-WIDTH property; under FAST here colNorm and mean always take the Medium shape (one block of 256 per column), which is their shape for 512 < n_rows < 2^17 at moderate n_cols. Under IDENTICAL the profile dot replaces all three (DEVIATION 610)
raft coalescedReduction inplace = true arm	not ported	never true on this section's paths
raft matrixVectorOp's VecLen vectorized load	not mirrored	scheduling; no arithmetic in it
glm/preprocess.cuh weightedMean arms	not ported	sample_weight refused
functions/linearReg.cuh linearRegLossGrads, functions/penalty.cuh (lassoGrad, ridgeGrad, elasticnetGrad)	not ported	the SGD solver's gradient path; cdFit does not call them (softThres.cuh is included by cd.cuh and not called either: the threshold is inlined in cdUpdateCoefKernel)
cuBLAS axpy's incx/incy strides	refused	cdFit passes 1, 1
