# our_file	upstream_file	status	notes
# PINS, read 2026-08-25 with `git -C <checkout> rev-parse --short HEAD`. cuML `upstream/cuml-v26.08.00` = 265b9da (the tree `[[mojolearn-upstream-pinned-trees]]` says to use; `upstream/cuml` = 00094f7 is 25.08 and has NO hdbscan/detail/condense.cuh in this shape). cuVS `upstream/cuvs` = 94c2819, WHICH AGREES with hierarchy/DERIVATION_MAP.tsv and with the line numbers in this lane's brief (build_mr_linkage at single_linkage.cuh:50-118). RAFT `upstream/raft` = 661a3b8. ALSO PRESENT AND NOT USED: `upstream/cuvs-v26.08.00` = 6ba2ce2 and `upstream/raft-v26.08.00` = ebf9268.
# THE TWO PINNED TREES DO NOT COMPILE AGAINST EACH OTHER, AND THE PORT READS BOTH. cuML 265b9da's runner.h:66-113 fills `linkage_params.all_neighbors_params`, a field that exists in cuvs 6ba2ce2 (agglomerative.hpp:141-147) and NOT in cuvs 94c2819 (whose mutual_reachability_params has min_samples and alpha only). So cuML 26.08's HDBSCAN pairs with cuVS 26.08, while this repository's cluster/ lane is pinned to cuVS 94c2819. Every function this lane ports is IDENTICAL in body between 94c2819 and 6ba2ce2 except build_mr_linkage's graph-building call (94c2819 calls mutual_reachability_graph directly, 6ba2ce2 calls all_neighbors::build), and BOTH of those are DEVIATION 1600's refused half. Line citations in this lane are 94c2819's, matching hierarchy/.
derived/hdbscan/runner.mojo	cuml cpp/src/hdbscan/runner.h	partial	build_linkage (:54-150) and _fit_hdbscan (:152-234) as ONE function, at the point their :170 calls the first from the second. HDBSCANParams mirrors hdbscan.hpp:129-140 + :192-199 minus build_params. Their :66-113 all_neighbors_params block is NOT PORTED (DEVIATION 1600); GRAPH_BUILD_ALGO::NN_DESCENT refused by name. Their min_samples+1 adjustment and clamp (:68-80) KEPT, including the discrepancy between their warning text (m-1) and their assignment (m), named in effective_min_samples' docstring. ADDED: an n_rows < 2 refusal before any n_rows-1 allocation, and the IdentityTrace threading that makes the fit emit its own card
derived/cluster/detail/single_linkage.mojo	cuvs cpp/src/cluster/detail/single_linkage.cuh	partial	build_mr_linkage (:50-118) only. Its :64-79 mutual_reachability_graph call is REPLACED by DEVIATION 1600's dense arm; its :81-84 MutualReachabilityFixConnectivitiesRedOp is a fix-up-loop argument only and is NOT PORTED (the complete graph never enters the loop); :88-102 build_sorted_mst and :107-117 build_dendrogram_host are hierarchy/'s, IMPORTED UNCHANGED. build_dist_linkage (:139-205) and single_linkage (:227-269) are hierarchy/'s and are not re-ported here
derived/hdbscan/detail/reachability.mojo	cuvs cpp/src/neighbors/detail/reachability.cuh + cuml cpp/src/hdbscan/detail/reachability.cuh	partial	core_distances (:49-63), compute_knn (:80-94), _compute_core_dists (:100-122, renamed compute_core_dists -- Mojo has no leading-underscore convention). Both upstream files carry the same three; cuML 26.08's copy is the CPU-interop one. mutual_reachability_knn_l2 (:151-188) and mutual_reachability_graph (:190-256) NOT PORTED, raise by name (DEVIATION 1600). ADDED: DEVIATION 1607's core-distance guard
derived/hdbscan/detail/condense.mojo	cuml cpp/src/hdbscan/detail/condense.cuh	transliterated	bfs_from_node (:37-66), _build_condensed_hierarchy (:91-212) and build_condensed_hierarchy (:237-286) as ONE function. Their three identical collapse bodies (:163-177, :183-189, :195-201) are folded into _collapse. HOST on their side too in 26.08. DEVIATION 1606 at the one float line (1/distance through identical_div). ADDED: min_cluster_size range refusals and DEVIATION 1607's delta/lambda guards. HDB_SAB_CONDENSE_DFS arm
derived/hdbscan/condensed_hierarchy.mojo	cuml cpp/src/hdbscan/condensed_hierarchy.cu	partial	TupleComp (:34-49), the empty constructor (:51-61) and condense() (:133-187). DEVIATION 1611: the (parent, child) sort is hierarchy/derived/sparse/op/sort.mojo's host merge sort on a packed UInt64 key, IMPORTED not rewritten. Their device uvectors are host Lists because their own builder is host-side (condense.cuh:92-212). The (n_edges_, ptrs...) constructor (:63-102) is not reached by a fit and is not ported. ADDED: a refusal when the size != -1 filter leaves nothing, where their minmax_element dereferences an empty range
derived/hdbscan/detail/utils.mojo	cuml cpp/src/hdbscan/detail/utils.h + raft sparse/convert/csr.cuh	partial	make_cluster_tree (:83-140), Utils::parent_csr (:150-170, renamed utils_parent_csr) and Select::parent_csr (select.cuh:103-130, renamed select_parent_csr and moved here beside its twin). sorted_rows_to_indptr is RAFT sorted_coo_to_csr (csr.cuh:78-90) as a host counting scan with an n+1 terminator. cub_segmented_reduce (:60-76) NOT PORTED as a function -- its two callers are replaced per-call by DEVIATIONS 1603/1604. normalize (:172-189) and softmax (:191-220) are soft clustering's, deferred
derived/hdbscan/detail/stabilities.mojo	cuml cpp/src/hdbscan/detail/stabilities.cuh + detail/kernels/stabilities.cuh	partial, with DEVIATIONS 1603/1604	compute_stabilities (:49-137) and get_stability_scores (:153-200); stabilities_functor (kernels:22-49) REPLACED. births_init_kernel is their :76-80 unchanged (each cluster is a child once, so no atomic is needed). cluster_stability_kernel fuses their :109-114 segmented Min, :117-126 births transform and :131-136 stability sum into one thread per cluster. max_lambda_of is runner.h:208-210's thrust::max_element on the weight_order_key integer order. get_stability_scores runs on the host because labels already are
derived/hdbscan/detail/select.mojo	cuml cpp/src/hdbscan/detail/select.cuh + detail/kernels/select.cuh	partial, with DEVIATIONS 1605/1613	perform_bfs (:57-91), excess_of_mass (:148-252), leaf (:264-286), select_clusters (:379-452), propagate_cluster_negation_kernel (kernels:24-45, transliterated, order-free by constant writes). cluster_epsilon_search (:301-363) and cluster_epsilon_search_kernel (kernels:47-104) NOT PORTED, raise by name. Select::parent_csr moved to utils.mojo. HDB_SAB_EOM_NO_UPDATE arm
derived/hdbscan/detail/extract.mojo	cuml cpp/src/hdbscan/detail/extract.cuh	partial, with DEVIATION 1609	TreeUnionFind (:49-86, iterative find), do_labelling_on_host (:88-167), extract_clusters (:246-314). Their :311 Membership::get_probabilities is NOT CALLED (DEVIATION 1610). _compute_inverse_label_map (:172-221) is the CPU-interop half of extract_clusters and is not reached by a fit. Their std::set<value_idx> is a membership array plus an ascending scan -- same predicate, same order. The float max at :128 is taken on weight_order_key (row 39)
original/mutual_reachability_dense.mojo	none	mojo-only	DEVIATION 1600's dense graph and DEVIATION 1601's total-order three-way max, applied to hierarchy's PAIRWISE connectivity; DEVIATION 1607's non-finite guards (an integer atomic count, order-free) for the core distances and the mutual reachability cells
