# Deliberately not ported, and why.
# WHAT A ROW IN THIS FILE MAY SAY, set 2026-09-01 by the project owner and applied to every row below.
# 'cuML reaches it through a closed vendor library' is NOT a reason to refuse anything. It is a reason to
# WRITE IT OURSELVES, which this tree has already done for LU, potrf and trsm (cholesky/DERIVATION_MAP.tsv
# rows 18-19: 'none (cuSOLVER potrf is CLOSED)'). A row may say NOT YET IMPLEMENTED, with the portable route
# and the missing primitive named, or OUT OF SCOPE with a reason that is not 'theirs is closed', or
# DELIBERATELY DIVERGENT. Two rows below said the closed-library thing and are corrected in place.
# CORRECTION 2026-08-19: every 'raft linalg/detail/...' path below was wrong; these files live in cuML.
# NARROWED 2026-09-01: that correction was about the 25.08 pin (upstream/cuml, upstream/raft-v26.08.00's
# predecessor), where PCA and truncated SVD lived only in cuML. At the 26.08 pin RAFT DOES carry
# cpp/include/raft/linalg/detail/{pca,tsvd,rsvd}.cuh and cuML's pca.cu is a thin forward into
# raft::linalg::pca_fit. Rows below that cite a raft detail/ path were checked against
# upstream/raft-v26.08.00 and the path exists; the 2026-08-19 correction remains true of the paths it
# was written about, which were cuML's, and is not a licence to cite raft paths without opening them.
cuml cpp/src/tsvd/tsvd.cuh::calEig COV_EIG_DQ arm	NOT YET IMPLEMENTED, AND IT IS THEIR DEFAULT	divide-and-conquer, raft::linalg::eigDC -> cuSOLVER syevd. THIS IS THE ARM cuML's DISPATCH ACTUALLY TAKES: paramsTSVDTemplate::algorithm defaults to COV_EIG_DQ (cuml/cpp/include/cuml/decomposition/params.hpp:53) and the Python layer maps both 'auto' and 'full' onto it (pca.pyx:392-404). We ship the JACOBI arm, which is opt-in for them, and `PCA(svd_solver='jacobi')` now names it. CORRECTED 2026-09-01: this row used to end 'syevd is closed cuSOLVER so neither arm is portable'. That is the reasoning the owner's rule forbids and it is also false -- a divide-and-conquer symmetric eigensolver is as writable as the Jacobi we already wrote. It stays unimplemented for a different and better reason: it would be a SECOND numeric route to the SAME spectrum our device Jacobi already returns, so it buys a name and not a capability. If it is ever wanted, it is wanted for accuracy on a clustered spectrum, and that is the claim that would have to be measured first
cuml cpp/src/pca/pca.cuh::pcaInverseTransform	not ported yet	one GEMM plus a mean add; trivial once anything needs it
cuml cpp/src/tsvd/tsvd.cuh::calCompExpVarsSvd + raft linalg/detail/rsvd.cuh	NOT YET IMPLEMENTED, REASON NARROWED 2026-09-01	randomized SVD, `TruncatedSVD(algorithm='randomized')` and `PCA(svd_solver='randomized')`. The 2026-09-01 assessment against raft-v26.08.00/cpp/include/raft/linalg/detail/rsvd.cuh stands: their `randomized_svd` has TWO tails (:243 'either QR of B^T method, or eigendecompose BB^T method') and the SECOND calls NO dense SVD at all, reaching `raft::linalg::eigJacobi` (:364) plus `raft::matrix::sqrt` (:368), and eigJacobi is the solver decomposition/checks/jacobi_eigh_device.mojo already substitutes for. WHAT THIS ROW USED TO SAY IS NOW FALSE AND IS DELETED: 'THE ONE MISSING PRIMITIVE IS THAT QR'. The tall-skinny QR landed 2026-09-01 in core/householder_qr.mojo (DEVIATIONS 586-589), gated by decomposition/checks/svd_full_check.mojo, and `PCA(svd_solver='full')` ships on it. THREE PIECES REMAIN AND THEY ARE NAMED. (1) `raft::linalg::qrGetQ` (:198, :218, :241) needs the EXPLICIT THIN Q, which is `orgqr`: the reflectors applied in reverse to the identity. The 'full' arm deliberately never forms Q -- R-SVD's right singular vectors and singular values come from R alone -- so this is genuinely new arithmetic, though not a new algorithm: it is one more kernel over the same packed reflectors core/householder_qr.mojo already writes, with its own gates (Q'Q = I, and Q Q' A = A on the sketch's range). (2) THE GAUSSIAN SKETCH, `raft::random::normal` (:180). core/philox.mojo is the counter-based RNG and checks/numerics.mojo has the portable log/sqrt/trig a Box-Muller needs, so the transcendentals are a pinned spelling and nothing more -- but a bit-identical NORMAL STREAM across three vendors is its own seam with its own gate, and the counter layout against theirs is its own deviation. (3) A SEEDED `random_state` ON THE PYTHON SURFACE. Neither class carries one today because neither arm is random. A randomized arm makes the fit's answer depend on a seed, which is a REPRODUCIBILITY CONTRACT (same seed, same bits, on all three vendors) and not one more keyword. The headline gate is also not a single-kernel check: increasing the oversampling parameter must MONOTONICALLY improve the reconstruction error toward the exact answer, which is a multi-run experiment. NOT STARTED, no deviation number spent. What is NOT a reason to skip it, then or now: cuSOLVER geqrf/orgqr being closed
cuml cpp/src/pca/pca.cuh whiten	IMPLEMENTED 2026-09-01, ROW KEPT AS A POINTER	was 'not ported yet'. It is ported: impl/linalg/detail/pca.mojo::whiten_scale_kernel / whiten_components / whiten_scalar, the two host surfaces in estimator.mojo, and `PCA(whiten=True)` on the Python surface. DEVIATIONS 580 (the row count is the FIT's, against cuML's dense path), 581 (one skip threshold in both directions), 582 (cuML's skip and not scikit-learn's eps clamp), 583 (the scalar is host float64 rounded once), 584 (identical_mul / identical_div / ftz at the seam, all three tiers), 585 (the sabotage file). Gates: checks/pca_check.mojo::check_whiten_unit_variance, _round_trip, _row_subset_agrees, _edges. See DERIVATION_MAP.tsv for the upstream rows
sklearn decomposition/_pca.py svd_solver='full'	IMPLEMENTED 2026-09-01, ROW KEPT AS A POINTER	was NOT YET IMPLEMENTED, and the reason it gave -- "the missing primitive is a bit-identical tall-skinny QR" -- was TRUE ON THE DAY AND IS NOW FALSE. The arima lane wrote a gated Householder QR the same night (DEVIATION 678, arima/impl/linalg/batched/least_squares.mojo), and this pass reached it. WHAT WAS ACTUALLY REUSED, because "we already have a QR" would be too generous: the THREE SCALAR CHOICES that deviation wrote down -- the reflector sign s = -sign(a_jj), u1 = a_jj - r_jj, and tau = (-s*u1)/normx -- are LIFTED into core/householder_qr.mojo as qr_reflector_r / _u1 / _tau and live in exactly one place (DEVIATION 586). The LOOP was not lifted and could not be: arima's is one thread per series, serial ascending, sized for n <= 17, and PCA's shape is one matrix of n_samples x n_features at the shipped size, so importing it would compile, run, and be unusable (DEVIATION 587, a block fold instead of a serial one; DEVIATION 589, TSQR with a slice count that is a pure function of the shape). TWO deliberate divergences from DEVIATION 678, both because this route feeds an SVD instead of a back substitution: NO RANK TEST (DEVIATION 588 -- a rank-deficient R is a ZERO SINGULAR VALUE, and importing arima's refusal would make 'full' raise on a constant feature that 'jacobi' accepts), and the reflector's division pinned through identical_div where arima's is a bare `/`. The tail is a ONE-SIDED Jacobi SVD of the n_cols x n_cols R (DEVIATION 590), sharing jacobi_rotation_cs and _rot_sub/_rot_add with the shipped eigensolver, which was refactored in the same commit so there is one spelling; the host ordering, truncation, ratios and noise variance are the SHARED order_truncate_spectrum (DEVIATION 591). REFUSED, by name: n_samples < n_features (DEVIATION 593; the wide route is an LQ of the transpose and it is not written). Files: core/householder_qr.mojo, decomposition/impl/linalg/detail/svd_full.mojo, decomposition/estimator.mojo::pca_fit_full_host, decomposition/checks/svd_full_check.mojo, decomposition/checks/svd_sabotage.mojo (DEVIATION 592), decomposition/svd_full_main.mojo. WRITTEN AND UNRUN; the compile and gate commands are in the lane report
sklearn decomposition/_pca.py svd_solver='arpack'	OUT OF SCOPE FOR NOW, REASON NOT 'THEIRS IS CLOSED'	ARPACK is a Lanczos iteration on the implicitly restarted Arnoldi method, which is a THIRD algorithm and not a spelling of either arm this class runs. Nothing about it is blocked by a closed library: scipy calls the open ARPACK Fortran, and a Lanczos with full reorthogonalization is writable. It stays unimplemented because its value over the arms we ship is narrow -- it wins when n_components is much smaller than n_features AND n_features is large enough that an O(n_features^3) small eigensolve dominates, which is a shape the 128-feature column this lane gates does not reach -- and because a Lanczos without a reorthogonalization policy silently returns duplicated eigenvalues, which is a wrong answer with no error. If it is ever wanted, it is wanted for that shape, and that is the claim that would have to be measured first
cuml cpp/src/pca/pca.cuh::pcaFitTransform + ML::signFlip	not ported	the U-based sign flip. Ours flips on V instead; see DERIVATION_MAP.tsv and the pca.mojo docstring for why, and note that cuML's pcaFit does not flip at all. DEVIATION 525 states our rule as a TOTAL order and pins it once in eig_and_truncate for both PCA and tSVD: largest-absolute-value entry, ties to the LOWEST index (cub::ArgMax's rule, cuML's own tsvd.cuh:160 loop, and np.argmax's), negate iff that entry is < 0.0 so a zero maximum of either sign never flips. Unconditional in BOTH numeric modes: it has been shipped since b495627, so gating it to IDENTICAL would move NUMERIC_FAST bits
cuml cpp/src/tsvd/tsvd.cuh::tsvdFitTransform explained_var	not ported	theirs computes tSVD's explained variance from the TRANSFORMED data and ratios it against the total column variance of the input (tsvd.cuh:272-293). Ours returns the Gram eigenvalues and ratios them against their own sum, which is a different quantity. tsvdFit itself computes neither
cuml cpp/src/pca/pca_mg.cu	out of scope	multi-GPU
cuml cpp/src/pca/pca.cuh n_components > n_cols	DELIBERATELY DIVERGENT	theirs CLAMPS (pca.cuh:123) but only for the seqRoot; truncCompExpVars still truncates with the unclamped prms.n_components, which over-reads. Ours raises. Copying a latent out-of-bounds read is not copying
