# our_file	upstream_file	status	notes
# cuML pinned at v26.08.00 (upstream/cuml-v26.08.00, cpp/src/svm + include/cuml/svm + include/cuml/matrix); cuVS kernel matrices at 94c2819 (upstream/cuvs cpp/src/distance/detail/kernels/kernel_matrices.cu, = RAFT raft/distance/detail/kernels/kernel_matrices.cuh); raft::cache at v26.08.00 (read, NOT ported).
ported/svm/svm_parameter.mojo	cuml include/cuml/svm/svm_parameter.h + svm_model.h + include/cuml/matrix/kernel_params.hpp	transliterated	SvmParameter, SvmModel (dense SupportStorage only; host lists), KernelParams, the enums; check_rung1_scope raises BY NAME for svmType != C_SVC, epsilon != 0, cache_size != 0, POLYNOMIAL/TANH/PRECOMPUTED, sample_weight
ported/svm/smo_sets.mojo	cuml cpp/src/svm/smo_sets.cuh	transliterated	in_upper / in_lower, one spelling for device, host and oracle
ported/svm/ws_util.mojo	cuml cpp/src/svm/ws_util.cuh	partial	set_unavailable, set_upper, set_lower (flags are UInt8 for the byte scan); update_priority NOT ported (PrioritySelect arm, FIFO only upstream too)
ported/svm/workingset.mojo	cuml cpp/src/svm/workingset.h + workingset.cuh	partial	SetSize, Select (FIFO arm), SimpleSelect, GatherAvailable, Initialize, AllocateBuffers; cub SortPairs -> twiddle + gbdt/gpu_util/kernel/radix_sort.mojo::launch_radix_sort_bins (stable, 32 one-bit passes); DeviceSelect::Flagged -> mojo_only/device_select.mojo; PrioritySelect/SelectPrevWs/ws_priority NOT ported. DEVIATION 631 (total order spelled). SAB_WS_TIE sabotage hook
ported/svm/kernelcache.mojo	cuml cpp/src/svm/kernelcache.cuh (KernelCache) + raft/util/cache.cuh + cache_util.cuh (read)	partial	KernelCache structure on THEIR cache_size == 0 path (n_cache_sets = 0): InitWorkingSet, getKernelIndices (= ws_idx_mod field), getSquareTileWithoutCaching, InitFullTileBatching, getNextBatchKernel, selectValueSubset, n_rows batching by kernel_tile_byte_limit. BatchCache / raft::cache::Cache LRU, PreparePartitionedIdxOrder, GetCacheIdxPartitionedStable, AssignAndStoreVecs, SVR index mapping, sparse and PRECOMPUTED arms NOT ported. Row-major tiles ([n_ws x n_ws]; full tile [nnz x batch] = their [batch x nnz] column-major read the other way). scratch_pad/scratch_poison knobs are ours (launch-invariance gate)
ported/svm/smoblocksolve.mojo	cuml cpp/src/svm/smoblocksolve.cuh	transliterated	SmoBlockSolve kernel body branch for branch, C_SVC arm; cub::BlockReduce<KVPair> -> mojo_only/pinned_argreduce.mojo (DEVIATION 633: tie to the smaller TRAINING INDEX); WSIZE a comptime parameter (theirs 1024 fixed), padding threads inert; f += q*(Kui-Kli) through identical_mul_add
ported/svm/smosolver.mojo	cuml cpp/src/svm/smosolver.h + smosolver.cuh	partial	Solve, UpdateF (DEVIATION 634: hand GEMV, fold in ascending training index via host rank permutation), Initialize, InitPenalty (unweighted), SvcInit, GetNonzeroDeltaAlpha (flag + compaction), CheckStoppingCondition (host Float64 exactly as their double promotions), GetDefaultMaxIter, ResizeBuffers (fields); SvrInit / EPSILON_SVR NOT ported; log lines dropped, their counters kept. SmoTrace recorder and the card stages are ours. SAB_FOLD_ROTATE / SAB_NO_FTZ sabotage hooks
ported/svm/results.mojo	cuml cpp/src/svm/results.cuh	partial	Get, CombineCoefs, GetDualCoefs, GetSupportVectorIndices, CollectSupportVectorMatrix (dense), CalcB (all three arms), SelectUnboundSV, SelectByCoef, SelectReduce; cub::DeviceReduce::Sum -> serial_sum_f32_kernel (DEVIATION 632), Min/Max -> one-thread scans (exact); SVR add arm and sparse support NOT ported
ported/svm/svc_impl.mojo	cuml cpp/src/svm/svc_impl.cuh + svc.cu + include/cuml/svm/svc.hpp	partial	svcFit (dense), svcPredict (dense/dense; predict_class and decision function), applyPrediction, computeBatchDecisionFunction (decision_kernel: ascending over support vectors; theirs raft gemv = cuBLAS), getUniquelabels (HOST sort+unique), getOvrlabels kernel; the binary-only ASSERT kept as a raise; sparse, PRECOMPUTED, svmFreeBuffers NOT ported; x row-major (theirs f-contiguous)
ported/distance/kernel_matrices.mojo	cuvs cpp/src/distance/detail/kernels/kernel_matrices.cu (GramMatrixBase::linear, RBFKernel::evaluate, rbf_kernel_expanded, matrixRowNormL2) + raft linalg rowNorm	partial	LINEAR and RBF only. dot: core/gemm.mojo::gemm_nt (FAST) / gemm/mojo_only/gemm_identical.mojo v1 (IDENTICAL); norm: per-row serial chain (theirs a block fold); rbf: THEIR expansion association, exp in FLOAT32 through identical_exp (DEVIATION 630; theirs promotes to double for float math_t). POLYNOMIAL/TANH NOT ported. SAB_STD_EXP sabotage hook
mojo_only/device_select.mojo	none (cub::DeviceSelect::Flagged, thrust::copy_if, cub float key twiddle, thrust::fill/transform, raft::copy/range stand-ins)	mojo-only	flagged compaction = gbdt/gpu_util/kernel/reorder_one_bit.mojo scan (imported) + scatter; twiddle kernel; gathers; fills; serial_sum/min/max; SelectScratch; host upload/read helpers
mojo_only/pinned_argreduce.mojo	none (cub::BlockReduce<KVPair, WSIZE> with cuda::minimum/maximum stand-in)	mojo-only	DEVIATION 633: halving-tree argmin/argmax over (value, key) with the smaller key winning ties; pinned_block_max_all for f_max; no lane primitive, returned to every thread
mojo_only/smo_oracle.mojo	none	mojo-only	the host oracle: the same SMO serial, generic over Float32 (identical helpers, v1 GEMM leaf + imported fold tree) and Float64 (sanity reference); working-set rule, block solve with the index tie-break, f update in training-index order, CalcB arms, decision function, dual objective, global KKT gap
mojo_only/svc_check.mojo	none	mojo-only	7 hashed fixtures, 11 oracle gates, 5 device gates (refusals, device == oracle bitwise, ws purity on the duplicate-rows fixture, launch invariance over 7 arms x 3 fixtures, card), FAST arms are REPORTS
svc_main.mojo	none	mojo-only	entry point: `oracle` (host only), default (all gates), `card` (emit the stage card to MOJOLEARN_IDENTITY_TRACE)
