NOTE: --lanes scopes this diff to 8 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host'] commit=bb937d57b15ab745d6db2d27a410b6bad2fb82f6
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host'] commit=bb937d57b15ab745d6db2d27a410b6bad2fb82f6
NOTE: column cpu-apple-m4 ran with MOJOLEARN_IDENTITY_BATCH_SABOTAGE ON; its batch cells are a sabotage run and must read BATCH_MOVED, they are not evidence
| lane/fixture                 | verdict    | cpu-apple-m4     | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|
| kmeans-array/base            | IDENTICAL x2 | 37ab2f0355ef716a | 37ab2f0355ef716a |
| kmeans-array/denormal        | IDENTICAL x2 | 92a2b78d865ad9b0 | 92a2b78d865ad9b0 |
| kmeans-array/odd             | IDENTICAL x2 | 5b347e0f29ddb844 | 5b347e0f29ddb844 |
| kmeans-array/ties            | IDENTICAL x2 | f7e7677d5ae7597f | f7e7677d5ae7597f |
| kmeans-classic-pp/base       | IDENTICAL x2 | e6648c8209c562ac | e6648c8209c562ac |
| kmeans-classic-pp/denormal   | IDENTICAL x2 | d3ba0ebbb0af1b3e | d3ba0ebbb0af1b3e |
| kmeans-classic-pp/odd        | IDENTICAL x2 | a47bec6025e076d8 | a47bec6025e076d8 |
| kmeans-classic-pp/ties       | IDENTICAL x2 | b0f1aa9e9e7adf6f | b0f1aa9e9e7adf6f |
| kmeans-cosine/base           | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-cosine/denormal       | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-cosine/odd            | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-cosine/ties           | IDENTICAL x2 | c9f16ec2e84f967d | c9f16ec2e84f967d |
| kmeans-random/base           | IDENTICAL x2 | 2bab0cda9f319dbb | 2bab0cda9f319dbb |
| kmeans-random/denormal       | IDENTICAL x2 | ddb08cf02222e6a3 | ddb08cf02222e6a3 |
| kmeans-random/odd            | IDENTICAL x2 | f22e6751eeedc598 | f22e6751eeedc598 |
| kmeans-random/ties           | IDENTICAL x2 | 9f90e48e2d5a4ce4 | 9f90e48e2d5a4ce4 |
| kmeans-sqrt/base             | IDENTICAL x2 | 8864be3c295d6c4a | 8864be3c295d6c4a |
| kmeans-sqrt/denormal         | IDENTICAL x2 | c2486d60db950886 | c2486d60db950886 |
| kmeans-sqrt/odd              | IDENTICAL x2 | cd50fd82b95de87a | cd50fd82b95de87a |
| kmeans-sqrt/ties             | IDENTICAL x2 | 07a5cce02a00bdae | 07a5cce02a00bdae |
| kmeans-weighted/base         | IDENTICAL x2 | 5080fbf55610f54e | 5080fbf55610f54e |
| kmeans-weighted/denormal     | IDENTICAL x2 | c3613adfb9158691 | c3613adfb9158691 |
| kmeans-weighted/odd          | IDENTICAL x2 | fc6107e901e7d7be | fc6107e901e7d7be |
| kmeans-weighted/ties         | IDENTICAL x2 | a7070391c3cc52fb | a7070391c3cc52fb |
| kmeans/base                  | IDENTICAL x2 | 5aa44cc11034dec9 | 5aa44cc11034dec9 |
| kmeans/denormal              | IDENTICAL x2 | 993fe5caff144b0c | 993fe5caff144b0c |
| kmeans/odd                   | IDENTICAL x2 | 43d8a3d3859f4143 | 43d8a3d3859f4143 |
| kmeans/ties                  | IDENTICAL x2 | 3de3e103006de69c | 3de3e103006de69c |
| par-kmeans/base              | REFUSED    | REFUSED          | REFUSED          |
| par-kmeans/denormal          | REFUSED    | REFUSED          | REFUSED          |
| par-kmeans/odd               | REFUSED    | REFUSED          | REFUSED          |
| par-kmeans/ties              | REFUSED    | REFUSED          | REFUSED          |

summary: IDENTICAL=28, REFUSED=4

| lane/fixture                 | column | verdict      | cpu-apple-m4     | cpu-apple-m4     |
|------------------------------|--------|--------------|------------------|------------------|
| kmeans-array/base            | infer  | IDENTICAL x2 | ae9509c50c75d2bc | ae9509c50c75d2bc |
| kmeans-array/base            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-array/base            | batch  | BATCH_MOVED  | 4b1022a4b98908d1 | BATCH_MOVED      |
| kmeans-array/denormal        | infer  | IDENTICAL x2 | c7e58f1805e93798 | c7e58f1805e93798 |
| kmeans-array/denormal        | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-array/denormal        | batch  | BATCH_MOVED  | 8aaa92c6db31897f | BATCH_MOVED      |
| kmeans-array/odd             | infer  | IDENTICAL x2 | cb0a1ae7215c27aa | cb0a1ae7215c27aa |
| kmeans-array/odd             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-array/odd             | batch  | BATCH_MOVED  | 21e79ca2282ddc5f | BATCH_MOVED      |
| kmeans-array/ties            | infer  | IDENTICAL x2 | 5f64992d5da78b8f | 5f64992d5da78b8f |
| kmeans-array/ties            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-array/ties            | batch  | BATCH_MOVED  | 3d1ce5fa3f9e09c4 | BATCH_MOVED      |
| kmeans-classic-pp/base       | infer  | IDENTICAL x2 | e44226a81eebb7a8 | e44226a81eebb7a8 |
| kmeans-classic-pp/base       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-classic-pp/base       | batch  | BATCH_MOVED  | a710fad38f112c1c | BATCH_MOVED      |
| kmeans-classic-pp/denormal   | infer  | IDENTICAL x2 | f86f206425b73e29 | f86f206425b73e29 |
| kmeans-classic-pp/denormal   | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-classic-pp/denormal   | batch  | BATCH_MOVED  | 15dec882e28b9589 | BATCH_MOVED      |
| kmeans-classic-pp/odd        | infer  | IDENTICAL x2 | 3b0d31ba504ffc5b | 3b0d31ba504ffc5b |
| kmeans-classic-pp/odd        | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-classic-pp/odd        | batch  | BATCH_MOVED  | 192831cf947aa32b | BATCH_MOVED      |
| kmeans-classic-pp/ties       | infer  | IDENTICAL x2 | 83ac9df1fe7b737d | 83ac9df1fe7b737d |
| kmeans-classic-pp/ties       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-classic-pp/ties       | batch  | BATCH_MOVED  | ff31663995ac52c6 | BATCH_MOVED      |
| kmeans-cosine/base           | infer  | N/A          | n/a:function     | n/a:function     |
| kmeans-cosine/base           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-cosine/base           | batch  | N/A          | n/a:fit-refused  | n/a:fit-refused  |
| kmeans-cosine/denormal       | infer  | N/A          | n/a:function     | n/a:function     |
| kmeans-cosine/denormal       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-cosine/denormal       | batch  | N/A          | n/a:fit-refused  | n/a:fit-refused  |
| kmeans-cosine/odd            | infer  | N/A          | n/a:function     | n/a:function     |
| kmeans-cosine/odd            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-cosine/odd            | batch  | N/A          | n/a:fit-refused  | n/a:fit-refused  |
| kmeans-cosine/ties           | infer  | N/A          | n/a:function     | n/a:function     |
| kmeans-cosine/ties           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-cosine/ties           | batch  | N/A          | n/a:fit-refused  | n/a:fit-refused  |
| kmeans-random/base           | infer  | IDENTICAL x2 | 45d941e241fdba4f | 45d941e241fdba4f |
| kmeans-random/base           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/base           | batch  | BATCH_MOVED  | 41f3015cf8e0680a | BATCH_MOVED      |
| kmeans-random/denormal       | infer  | IDENTICAL x2 | f1b6a290aca7f88d | f1b6a290aca7f88d |
| kmeans-random/denormal       | model  | N/A          | n/a:no-save      | n/a:no-save      |
