# their_thing	status	why / where it would go
AdditiveChi2Sampler (sklearn/kernel_approximation.py:500-600)	NOT PORTED	Deferred by the brief that opened this lane. It is a DETERMINISTIC sampler -- no random state at all -- built from a log-spaced sampling of the chi-squared kernel's Fourier transform, so it needs no position map and reuses none of this lane's random-feature machinery. It also refuses negative input by raising, which is a validation shape nothing here has. Its natural home is this directory beside RBFSampler, and it needs its own fixtures because a chi-squared kernel is defined only on non-negative data
SkewedChi2Sampler (sklearn/kernel_approximation.py:426-700)	NOT PORTED	Deferred by the brief. Draws from a hyperbolic-secant distribution via `log(tan(pi/2 * uniform))`, which is a THIRD transcendental composition to pin (row 12) on top of the Box-Muller one, and its `log(X + skewedness)` step refuses input below -skewedness. Would reuse derived/random/rng_device.mojo's uniform and this lane's position map; needs a new pinned transform and its own gate
PolynomialCountSketch (sklearn/kernel_approximation.py:640-780)	NOT PORTED	Deferred by the brief. It is a COUNT SKETCH plus an FFT-based convolution, and this repository has no FFT and no pinned one. The sketch's scatter-add is also a genuine identity hazard of a kind this lane has none of: it accumulates several input features into one sketch bin, which is a fold whose ORDER is the input order, and pinning it is real work rather than a transcription
one-class SVM	NOT PORTED, AND NOT THIS LANE	Deferred by the brief IN THOSE WORDS ("it belongs in svm/, do not build it here"). cuML ships it at python/cuml/cuml/svm/svm_base.pyx and cpp/src/svm/, its solver is SMO, and svm/ already holds the ported SMO. Building it here would create a second SVM in one repository
kernel ridge with a per-target alpha (cuml kernel_ridge.py:74-88, the `else` arm)	NOT PORTED	Their `else` arm adds and then SUBTRACTS a different penalty around a FRESH factorization per target column, which is n_targets factorizations rather than one and is a different algorithm from the arm this lane ports. MULTI-TARGET AT ONE alpha DOES fall out free and IS shipped: cho_solve already gives every right-hand side its own thread (DEVIATION 1681), and check_kernel_ridge_planted_linear gates target 0 of a 3-target fit against the 1-target fit bit for bit
kernel ridge sample_weight (cuml kernel_ridge.py:59-63, sklearn kernel_ridge.py fit)	NOT PORTED	Their three lines are `sw = sqrt(w); y *= sw[:, None]; K *= outer(sw, sw)` and then `dual_coef *= sw[:, None]` after the solve. Cheap to port and NOT ported here because it adds a second scaling of the kernel matrix on the identity path with no fixture that plants a weight, and an unchecked non-default path is PORTING_RULES rule 8's failure. It needs a fixture whose weights are exactly representable so the scaling is exact, which is a small design job
kernel='precomputed' (cuml kernel_ridge.py, sklearn KernelRidge and Nystroem)	REFUSED BY NAME	DEVIATION 1683. It is a SHAPE CONTRACT rather than a kernel: X is asserted to BE a kernel matrix, nothing validates that it is symmetric or positive semi-definite, and there is no oracle to compare against because there is no kernel to evaluate. Refused at km_validate_kernel_params with the reason
cuML's cosine, chi2 and additive_chi2 pairwise kernels (metrics/pairwise_kernels.py:60-84)	NOT PORTED	Three more entries of their PAIRWISE_KERNEL_FUNCTIONS table. cosine needs a ported cosine distance plus their nan_to_num; the two chi-squared ones need a per-cell reduction with a `nom != 0` guard that is a data-dependent branch. Each is a small port and each needs its own fixture and its own oracle row; km_kernel_from_name refuses them BY NAME and says so
cuML's callable numba device-function kernels (metrics/pairwise_kernels.py::custom_kernel)	NOT PORTABLE HERE	They JIT a user's Python function onto the device. Mojo has no equivalent and the identity story would be void anyway: a user-supplied kernel is a user-supplied arithmetic with no pins in it
RBFSampler's gamma='scale' (sklearn kernel_approximation.py:373-378)	NOT PORTED	`gamma = 1 / (n_features * X.var())`. It makes `fit` DATA-DEPENDENT and puts a variance -- a fold over the whole training set -- on the identity path in front of every draw, which is a new pinned reduction rather than a transcription. A caller computes its own gamma and passes it; rbf_sampler_fit_host does not take X at all, which makes the fact visible
sklearn's Nystroem warn-and-clamp at n_components > n_samples (kernel_approximation.py:1038-1047)	DELIBERATELY NOT COPIED	DEVIATION 1673. Their own comment on the branch is "XXX should we just bail?". A fit that silently returns fewer components than it was asked for produces an embedding whose width is not the width the caller allocated for, so this lane RAISES and names n_components = n_samples as the explicit way to ask for the full kernel
cuML's least-squares fallback on a singular kernel matrix (kernel_ridge.py:26-44)	NOT PORTED, REFUSED INSTEAD	DEVIATION 1662. Theirs catches LinAlgError, warns, and returns linalg.lstsq -- a DIFFERENT ESTIMATOR, silently. solver/original/lstsq.mojo has an eigendecomposition-based least squares in this tree so the port is possible; it is not done because wiring another lane's solver in without a gate that drives BOTH sides of the branch is exactly the unchecked non-default path rule 8 describes. The refusal names alpha as the closure
cuVS polynomial_kernel and tanh_kernel, the PADDED arms (kernel_matrices.cu:47-56, :84-92)	NOT PORTED	They take a leading dimension so the kernel matrix can be a padded sub-block of a larger allocation. Nothing in this tree stores a kernel matrix with an ld: every matrix here is contiguous row-major, which is the gemm profile's contract clause 2. Porting them would create a second addressing convention with no caller
a FUSED kernel matrix (one kernel computing the dot AND the epilogue)	NOT WRITTEN	Every kernel here is two passes: identical_gemm_into writes K to memory and an epilogue reads it back. cuVS is the same shape (they call cuBLAS and then a separate epilogue kernel), so this is FOLLOWING THEIR DISPATCH rather than a shortcut -- but it is also the reason the RBF and sigmoid kernels are bandwidth bound at a shape where they need not be. Fusing means an epilogue hook inside the gemm profile, which is the gemm lane's call
a BLOCKED trsm, a staged Cholesky panel, and a syrk shape in the gemm profile	NOT WRITTEN, NOT THIS LANE	cholesky/README.md's WHAT IS OWED carries all three. Kernel ridge is the caller that will feel them: an n x n factorization at n = 4096 is 128 host round trips at the pinned panel width
a device-resident hyperparameter sweep	NOT WRITTEN	kernel_ridge_fit_host uploads X, forms K, factors and downloads, once per alpha. A cross-validation over 20 alphas therefore forms the kernel matrix 20 times, and it need form it once. The device-level entry points (km_kernel_matrix, kernel_ridge_solve) exist and are documented for exactly this, and no driver in this lane uses them that way
